EntrezID,GeneSymbol,InputCategory,Group,TRIAGEpathways,Total.Network.Hits,All.Network.Hits
2648,KAT2A,HighConf,Novel,Notch signaling pathway,9,"ZNRD1, TAF6L, NCOR2, EP300, HDAC7, MAML1, HDAC10, HDAC1, TWISTNB"
84078,KBTBD7,HighConf,Novel,,2,"ATG7, NUP155"
3760,KCNJ3,MedConf,Novel,,1,GNG2
3761,KCNJ4,MedConf,Novel,,1,GNG2
3797,KIF3C,HighConf,Novel,,1,ARF1
90990,KIFC2,MedConf,Novel,,1,ARF1
23008,KLHDC10,MedConf,Novel,,1,USP7
3822,KLRC2,MedConf,Novel,,1,LCP2
51111,KMT5B,HighConf,Novel,Lysine degradation,2,"PLOD1, PLOD3"
9741,LAPTM4A,MedConf,Novel,,1,HNRNPU
3937,LCP2,HighConf,Novel,"T cell receptor signaling pathway, Rap1 signaling pathway",8,"FCER1A, KLRC2, GRB2, CDC42, CD8B, CD4, RAP1B, PAK2"
92483,LDHAL6B,MedConf,Novel,"Pyruvate metabolism, Propanoate metabolism",4,"MDH1, PC, PDHA2, ARF1"
64077,LHPP,MedConf,Novel,,2,"ATP6V1H, ATP6V1E2"
1902,LPAR1,MedConf,Novel,"PI3K-Akt signaling pathway, Rap1 signaling pathway, Phospholipase D signaling pathway",18,"CHRM2, CXCR4, MTNR1A, HTR1F, RXFP3, EDNRA, NPBWR1, AGTR2, GABBR1, OPRM1, TRH, TAC1, XCL1, RELA, C3, EGFR, GNG2, C5AR1"
4023,LPL,HighConf,Novel,,3,"RELA, NCOR2, EP300"
57819,LSM2,MedConf,Novel,Spliceosome,22,"SNRPB, SF3A1, SUGP1, ELAVL1, POLR2J, NCBP2, CHERP, HNRNPF, PABPN1, SLU7, PPWD1, TRIM56, PRPF3, ILF3, RBM22, SF3A2, HNRNPU, SNRPA1, SF3B3, CLNS1A, PRPF40A, LSM3"
27258,LSM3,HighConf,Novel,Spliceosome,20,"LSM2, SNRPB, SF3A1, SUGP1, ELAVL1, POLR2J, NCBP2, CHERP, HNRNPF, PABPN1, MAP4, PRPF3, ILF3, RBM22, SF3A2, HNRNPU, SNRPA1, SF3B3, CLNS1A, PRPF40A"
51213,LUZP4,MedConf,Novel,,13,"RANBP2, NUP107, NUP133, NUP153, NCBP2, THOC2, NUP155, NUP85, NUP160, NUP88, NUP62, SLU7, NUP54"
11313,LYPLA2,MedConf,Novel,,1,EIF2B1
10892,MALT1,MedConf,Novel,T cell receptor signaling pathway,1,RELA
9794,MAML1,MedConf,Novel,Notch signaling pathway,8,"HDAC10, GATA3, HDAC1, KAT2A, SPEN, NCOR2, EP300, HDAC7"
4124,MAN2A1,MedConf,Novel,N-Glycan biosynthesis,8,"MGAT1, STX5, GOSR1, COG1, COG7, COG4, COG2, COG3"
84557,MAP1LC3A,MedConf,Novel,,6,"ATG7, CSNK2A2, ATG12, GABARAPL2, RBM22, GRB2"
4134,MAP4,HighConf,Novel,,2,"RPS20, LSM3"
4190,MDH1,MedConf,Novel,"Pyruvate metabolism, Citrate cycle (TCA cycle)",4,"MDH2, SPR, PC, LDHAL6B"
4191,MDH2,MedConf,Novel,"Pyruvate metabolism, Citrate cycle (TCA cycle)",4,"PC, MDH1, CLNS1A, IDH1"
51102,MECR,MedConf,Novel,,1,HADHA
9282,MED14,HighConf,Novel,,2,"NCOR2, EP300"
9442,MED27,MedConf,Novel,,2,"NCOR2, EP300"
80306,MED28,HighConf,Novel,,2,"NCOR2, EP300"
29079,MED4,HighConf,Novel,,2,"NCOR2, EP300"
10001,MED6,HighConf,Novel,,2,"NCOR2, EP300"
9443,MED7,HighConf,Novel,,2,"NCOR2, EP300"
4208,MEF2C,MedConf,Novel,MAPK signaling pathway,7,"ELSPBP1, CDC42, AKT1, ACTA1, NCOR2, EP300, NFATC3"
4245,MGAT1,HighConf,Novel,N-Glycan biosynthesis,1,MAN2A1
23609,MKRN2,HighConf,Novel,,1,PAIP1
4312,MMP1,MedConf,Novel,Relaxin signaling pathway,2,"EP300, EDNRA"
4342,MOS,HighConf,Novel,"Regulation of actin cytoskeleton, MAPK signaling pathway",1,RRAS2
10200,MPHOSPH6,HighConf,Novel,,22,"HEATR1, IMP4, RPL37, RPL6, RPL9, PRPF3, FBL, RPL18A, RPL4, RPLP0, RPL7, RPL10, RPL27A, RPL7A, RPL10A, RPS6, NOP56, RPL18, RPL17, NOP58, RPL32, UTP14A"
65008,MRPL1,MedConf,Ribosome,Ribosome,6,"MRPL50, MRPL19, MRRF, ILF3, RPS20, ATP6V1H"
9801,MRPL19,MedConf,Ribosome,Ribosome,3,"MRRF, MRPL1, MRPL50"
54534,MRPL50,MedConf,Novel,,2,"MRPL19, MRPL1"
92399,MRRF,MedConf,Novel,,2,"MRPL1, MRPL19"
4543,MTNR1A,MedConf,Novel,,4,"RXFP3, GNG2, LPAR1, CHRM2"
2475,MTOR,MedConf,Novel,"EGFR tyrosine kinase inhibitor resistance, PI3K-Akt signaling pathway, mTOR signaling pathway, HIF-1 signaling pathway, ErbB signaling pathway, Autophagy - animal, Phospholipase D signaling pathway",11,"RELA, EIF4E, CDC42, AKT1, EGFR, RPS6KB1, EGF, RRAGB, EIF4EBP2, GRB2, CYCS"
4632,MYL1,MedConf,Novel,,1,NUP107
93408,MYL10,MedConf,Novel,"Focal adhesion, Regulation of actin cytoskeleton",2,"MYLK4, ACTA2"
340156,MYLK4,MedConf,Novel,"Focal adhesion, Regulation of actin cytoskeleton",2,"PAK2, MYL10"
399687,MYO18A,MedConf,Novel,,2,"FGF2, FGF9"
93649,MYOCD,MedConf,Novel,,1,ACTA2
22916,NCBP2,MedConf,RNA transport,"RNA transport, Spliceosome",67,"CHERP, THOC2, NUP155, NUP85, NUP160, NUP88, HNRNPF, PABPN1, NUP62, SLU7, ERCC3, NUP54, FGF2, RPL37, CCNT1, INTS7, INTS11, CTDP1, GEMIN2, PPWD1, POLDIP3, ICE2, RPL39L, LUZP4, RPL6, RANBP2, RPS15A, RPL9, PRPF3, RBM22, RPS18, SF3A2, RPS8, HNRNPU, ETF1, RPL18A, RPS23, RPL4, RPLP0, RPL7, RPL10, RPL27A, RPS10, RPS27, RPL7A, RPS4X, RPL10A, RPS6, RPS20, RPL18, RPL17, SNRPA1, RPL32, NUP107, NUP133, NUP153, SF3B3, PRPF40A, LSM3, LSM2, SNRPB, PPP2R2A, SF3A1, SUGP1, ELAVL1, POLR2J, EIF4E"
9612,NCOR2,HighConf,Novel,Notch signaling pathway,18,"EP300, HDAC7, MAML1, MEF2C, GPS2, HDAC10, LPL, HDAC1, KAT2A, AKT1, MED14, TAF6L, MED6, MED4, MED27, MED28, MED7, PHF12"
4775,NFATC3,MedConf,Novel,"MAPK signaling pathway, T cell receptor signaling pathway",3,"MEF2C, EGR2, CSF2"
378884,NHLRC1,MedConf,Novel,,1,GYS1
10528,NOP56,MedConf,Novel,Ribosome biogenesis in eukaryotes,28,"RPS20, RPL18, NOP58, UTP14A, SSB, RSL1D1, EXOSC3, MPHOSPH6, HEATR1, IMP4, DDX49, RPL6, EEF1A1, RPS15A, EXOSC9, EXOSC5, RPS18, RPS8, FBL, RPL18A, RPS23, RPL4, RPL7, RPS10, RPS27, RPS4X, CCT3, RPS6"
51602,NOP58,MedConf,Novel,Ribosome biogenesis in eukaryotes,27,"UTP14A, RSL1D1, EXOSC3, MPHOSPH6, POLR3F, HEATR1, IMP4, DDX49, RPL6, RPS15A, EXOSC9, EXOSC5, PRPF3, RPS18, RPS8, HNRNPU, FBL, RPL18A, RPS23, RPL4, RPL7, RPS10, RPS27, RPS4X, RPS6, NOP56, RPS20"
147111,NOTUM,MedConf,Novel,,3,"WNT1, WNT11, WNT10A"
2831,NPBWR1,MedConf,Novel,,4,"GNG2, LPAR1, CHRM2, RXFP3"
9542,NRG2,MedConf,Novel,"EGFR tyrosine kinase inhibitor resistance, ErbB signaling pathway",2,"EGFR, EGF"
7468,NSD2,MedConf,Novel,,4,"PLOD1, PLOD3, UBE2V2, UIMC1"
4926,NUMA1,MedConf,Novel,,2,"EIF3I, EIF3H"
57122,NUP107,HighConf,RNA transport,RNA transport,34,"NUP133, NUP153, XPO1, SNRPB, CENPQ, EIF4E, NCBP2, CDC42, THOC2, ZWILCH, NUP155, NUP85, AHCTF1, NUP160, NUP88, NUP62, SPEN, SLU7, ITGB3BP, NUP54, SENP2, MYL1, GLE1, RCC1, TAOK1, GEMIN2, POLDIP3, LUZP4, RANBP2, RANGAP1, RPS27, CLASP1, HSPA4, GCK"
55746,NUP133,HighConf,RNA transport,RNA transport,33,"NUP153, XPO1, SNRPB, CENPQ, EIF4E, NCBP2, CDC42, THOC2, ZWILCH, NUP155, NUP85, AHCTF1, NUP160, NUP88, NUP62, SLU7, ITGB3BP, FLNC, NUP54, SENP2, WWOX, TAOK1, GEMIN2, POLDIP3, LUZP4, RANBP2, RANGAP1, RPS27, CLASP1, HSPA4, GCK, DDX3X, NUP107"
9972,NUP153,HighConf,RNA transport,RNA transport,25,"XPO1, SNRPB, EIF4E, NCBP2, THOC2, NUP155, NUP85, NUP160, NUP88, NUP62, SLU7, NUP54, SENP2, GLE1, RCC1, GEMIN2, POLDIP3, LUZP4, RANBP2, RANGAP1, HDAC1, HSPA4, GCK, NUP107, NUP133"
9631,NUP155,HighConf,RNA transport,RNA transport,21,"NUP85, NUP160, NUP88, NUP62, SLU7, KBTBD7, NUP54, GEMIN2, POLDIP3, LUZP4, RANBP2, RANGAP1, HSPA4, GCK, NUP107, NUP133, NUP153, SNRPB, EIF4E, NCBP2, THOC2"
23279,NUP160,HighConf,RNA transport,RNA transport,30,"NUP88, NUP62, SLU7, ITGB3BP, NUP54, TAOK1, GEMIN2, POLDIP3, LUZP4, RANBP2, RANGAP1, RPS27, CLASP1, HSPA4, GCK, NUP107, NUP133, NUP153, XPO1, SNRPB, CENPQ, EIF4E, NCBP2, CDC42, THOC2, ZWILCH, NUP155, NUP85, STX5, AHCTF1"
53371,NUP54,MedConf,RNA transport,RNA transport,21,"GEMIN2, POLDIP3, LUZP4, RANBP2, RANGAP1, HSPA4, GCK, NUP107, NUP133, NUP153, SNRPB, EIF4E, NCBP2, THOC2, NUP155, NUP85, NUP160, NUP88, NUP62, SPEN, SLU7"
23636,NUP62,MedConf,RNA transport,RNA transport,25,"SLU7, NUP54, GEMIN2, POLDIP3, HEATR5A, TOMM40L, LUZP4, CD34, RANBP2, RANGAP1, HDAC1, HSPA4, GCK, NUP107, NUP133, NUP153, XPO1, SNRPB, EIF4E, NCBP2, THOC2, NUP155, NUP85, NUP160, NUP88"
79902,NUP85,HighConf,RNA transport,RNA transport,29,"AHCTF1, NUP160, NUP88, NUP62, SLU7, ITGB3BP, NUP54, TAOK1, GEMIN2, POLDIP3, LUZP4, RANBP2, RANGAP1, RPS27, CLASP1, HSPA4, GCK, NUP107, NUP133, NUP153, XPO1, SNRPB, CENPQ, EIF4E, NCBP2, CDC42, THOC2, ZWILCH, NUP155"
4927,NUP88,MedConf,RNA transport,RNA transport,21,"NUP62, SLU7, NUP54, GEMIN2, POLDIP3, LUZP4, RANBP2, RANGAP1, HSPA4, GCK, NUP107, NUP133, NUP153, XPO1, SNRPB, EIF4E, NCBP2, THOC2, NUP155, NUP85, NUP160"
4942,OAT,MedConf,Novel,,1,ALDH1B1
8473,OGT,MedConf,Novel,,3,"AKT1, CRTC2, GYS1"
611,OPN1SW,MedConf,Novel,,1,GNG2
4988,OPRM1,MedConf,Novel,,4,"GNG2, LPAR1, CHRM2, RXFP3"
8106,PABPN1,MedConf,Novel,,16,"SLU7, PRPF3, RBM22, SF3A2, HNRNPU, SNRPA1, SF3B3, PRPF40A, LSM3, LSM2, SNRPB, SF3A1, POLR2J, NCBP2, CHERP, THOC2"
10605,PAIP1,MedConf,RNA transport,RNA transport,3,"EIF3G, EIF4E, MKRN2"
5062,PAK2,MedConf,Novel,"Focal adhesion, Ras signaling pathway, Regulation of actin cytoskeleton, MAPK signaling pathway, T cell receptor signaling pathway, ErbB signaling pathway",11,"LCP2, MYLK4, SEMA3A, PSMA7, PSME2, PSMB7, PSMB2, CTTN, CDC42, CDH5, ACTA1"
84612,PARD6B,MedConf,Novel,Rap1 signaling pathway,1,CDC42
5091,PC,MedConf,Novel,"Pyruvate metabolism, Citrate cycle (TCA cycle)",8,"PDHA2, CYP27A1, TSHR, ILF3, LDHAL6B, CCT3, MDH1, MDH2"
5106,PCK2,MedConf,Novel,"PI3K-Akt signaling pathway, Pyruvate metabolism, Citrate cycle (TCA cycle), FoxO signaling pathway",1,AKT1
5138,PDE2A,MedConf,Novel,,1,ENTPD3
5156,PDGFRA,MedConf,Novel,"EGFR tyrosine kinase inhibitor resistance, PI3K-Akt signaling pathway, Focal adhesion, Ras signaling pathway, Regulation of actin cytoskeleton, MAPK signaling pathway, Rap1 signaling pathway, Phospholipase D signaling pathway",13,"SH3GL3, FGF2, EGF, SPHK1, VEGFD, FGF9, FGF19, SHC4, FGF14, RAPGEF1, GRB2, JAK1, EGFR"
5161,PDHA2,MedConf,Novel,"Pyruvate metabolism, Citrate cycle (TCA cycle), HIF-1 signaling pathway",3,"LDHAL6B, HNRNPU, PC"
10130,PDIA6,HighConf,Novel,,1,CLNS1A
10857,PGRMC1,MedConf,Novel,,2,"HNRNPU, RPS20"
11331,PHB2,MedConf,Novel,,1,IDH1
57649,PHF12,HighConf,Novel,,2,"NCOR2, HDAC1"
51230,PHF20,MedConf,Novel,,1,AKT1
5283,PIGH,HighConf,Novel,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,1,PIGY
10026,PIGK,HighConf,Novel,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,1,GPAA1
84992,PIGY,HighConf,Novel,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,1,PIGH
23396,PIP5K1C,HighConf,Novel,"Focal adhesion, Regulation of actin cytoskeleton, Phospholipase D signaling pathway",3,"INPP5E, SEMA3A, PTEN"
168507,PKD1L1,MedConf,Novel,,1,CACNG1
5351,PLOD1,MedConf,Novel,Lysine degradation,10,"PLOD3, COL14A1, COL22A1, COL16A1, COL4A4, EHMT1, SETD7, NSD2, KMT5B, SUV39H1"
8985,PLOD3,HighConf,Novel,Lysine degradation,12,"COL14A1, COL22A1, COL16A1, COL4A4, EHMT1, SETD7, NSD2, KMT5B, SUV39H1, HADHA, RAB3IP, PLOD1"
84271,POLDIP3,MedConf,Novel,,14,"RANBP2, NUP107, NUP133, NUP153, NCBP2, THOC2, NUP155, NUP85, NUP160, NUP88, NUP62, SLU7, NUP54, RPS6KB1"
5439,POLR2J,MedConf,Novel,"RNA polymerase, Pyrimidine metabolism",37,"NCBP2, CHERP, HNRNPF, PABPN1, SLU7, EGR2, ERCC3, EP300, FGF2, CCNT1, COPS4, COPS8, INTS7, INTS11, CTDP1, COPS7B, PPWD1, ICE2, AJUBA, ENTPD3, HOXB1, PRPF3, RBM22, SF3A2, HNRNPU, SNRPA1, SF3B3, PRPF40A, LSM3, LSM2, SNRPB, USP7, SF3A1, COPS6, RPA2, SUGP1, ELAVL1"
11128,POLR3A,HighConf,Novel,"RNA polymerase, Pyrimidine metabolism",6,"SSB, GPN3, POLR3F, POLR3D, ENTPD3, HDAC1"
661,POLR3D,MedConf,Novel,"RNA polymerase, Pyrimidine metabolism",5,"ENTPD3, POLR3A, SSB, GPN3, POLR3F"
10621,POLR3F,HighConf,Novel,"RNA polymerase, Pyrimidine metabolism",6,"POLR3D, ENTPD3, POLR3A, NOP58, SSB, RSL1D1"
10248,POP7,MedConf,RNA transport,"RNA transport, Ribosome biogenesis in eukaryotes",1,RPP25L
5479,PPIB,HighConf,Novel,,2,"COL4A4, RANGAP1"
89801,PPP1R3F,MedConf,Novel,,1,GYS1
5520,PPP2R2A,HighConf,Novel,PI3K-Akt signaling pathway,36,"RELA, NCBP2, AKT1, TGFBR2, EGFR, RPS6KB1, EGF, CACNG1, RPL37, TNNI3, RPL39L, RPL6, RPS15A, RPL9, RPS18, RPS8, ETF1, RPL18A, RPS23, RPL4, RPLP0, RPL7, RPL10, RPL27A, RPS10, RPS27, RPL7A, RPS4X, RPL10A, CCT3, RPS6, RPS20, RPL18, RPL17, CYCS, RPL32"
23398,PPWD1,MedConf,Novel,,12,"RBM22, SF3A2, HNRNPU, SNRPA1, SF3B3, LSM2, SNRPB, SF3A1, POLR2J, NCBP2, CHERP, SLU7"
9129,PRPF3,MedConf,Novel,Spliceosome,23,"RBM22, SF3A2, HNRNPU, FBL, RPS10, SNRPA1, NOP58, SF3B3, PRPF40A, LSM3, LSM2, SNRPB, SF3A1, SUGP1, ELAVL1, POLR2J, NCBP2, MPHOSPH6, CHERP, HNRNPF, PABPN1, SLU7, CDK13"
55660,PRPF40A,MedConf,Novel,Spliceosome,20,"LSM3, LSM2, SNRPB, SF3A1, SUGP1, ELAVL1, POLR2J, NCBP2, CHERP, HNRNPF, PABPN1, RBMX2, PRPF3, RBM22, SF3A2, HNRNPU, SNRPA1, UTP14A, TRA2A, SF3B3"
5688,PSMA7,MedConf,Novel,,5,"SNRPA1, RELA, ARPC1A, PAK2, DVL2"
5690,PSMB2,MedConf,Novel,,3,"RELA, PAK2, DVL2"
5695,PSMB7,MedConf,Novel,,3,"RELA, PAK2, DVL2"
5721,PSME2,HighConf,Novel,,3,"RELA, PAK2, DVL2"
5728,PTEN,MedConf,Novel,"EGFR tyrosine kinase inhibitor resistance, PI3K-Akt signaling pathway, Focal adhesion, mTOR signaling pathway, FoxO signaling pathway, Autophagy - animal",8,"PIP5K1C, INPP4A, ITPKA, AGO3, INPP5E, GRB2, USP7, AKT1"
5771,PTPN2,MedConf,Novel,,1,JAK1
81876,RAB1B,HighConf,Novel,,2,"CDC42, ARF1"
5862,RAB2A,HighConf,Novel,,3,"ARF1, EEF1A1, HNRNPU"
117177,RAB3IP,MedConf,Novel,,1,PLOD3
5870,RAB6A,HighConf,Novel,,1,ARF1
51560,RAB6B,MedConf,Novel,,1,ARF1
5902,RANBP1,HighConf,Novel,,3,"RANBP2, RANGAP1, XPO1"
5903,RANBP2,HighConf,RNA transport,RNA transport,37,"EEF1A1, RANGAP1, RPLP0, RPS27, HDAC1, CLASP1, HSPA4, GCK, NUP107, NUP133, NUP153, XPO1, TRIM55, SNRPB, CENPQ, EIF4E, NCBP2, CDC42, THOC2, ZWILCH, NUP155, NUP85, AHCTF1, NUP160, NUP88, HNRNPF, NUP62, SLU7, ITGB3BP, NUP54, RANBP1, GLE1, RCC1, TAOK1, GEMIN2, POLDIP3, LUZP4"
5905,RANGAP1,MedConf,RNA transport,RNA transport,26,"RPS27, HDAC1, CLASP1, NUP107, NUP133, NUP153, XPO1, CENPQ, CDC42, ZWILCH, NUP155, NUP85, AHCTF1, NUP160, NUP88, NUP62, ITGB3BP, HUWE1, NUP54, SENP2, PPIB, RANBP1, RGPD5, TAOK1, RGPD4, RANBP2"
5908,RAP1B,HighConf,Novel,"Focal adhesion, Ras signaling pathway, MAPK signaling pathway, Rap1 signaling pathway",6,"LCP2, ITGA4, TIAM1, ARAP1, RAPGEF1, CDC42"
2889,RAPGEF1,HighConf,Novel,"Focal adhesion, Rap1 signaling pathway",2,"RAP1B, PDGFRA"
55696,RBM22,MedConf,Novel,Spliceosome,20,"SF3A2, HNRNPU, SNRPA1, SF3B3, PRPF40A, LSM3, LSM2, SNRPB, MAP1LC3A, SF3A1, SUGP1, ELAVL1, POLR2J, NCBP2, CHERP, HNRNPF, PABPN1, SLU7, PPWD1, PRPF3"
51634,RBMX2,MedConf,Novel,,1,PRPF40A
1104,RCC1,MedConf,Novel,,4,"RANBP2, NUP107, NUP153, XPO1"
5970,RELA,HighConf,Novel,"PI3K-Akt signaling pathway, Ras signaling pathway, MAPK signaling pathway, HIF-1 signaling pathway, T cell receptor signaling pathway, Relaxin signaling pathway",21,"ANAPC11, EP300, LPAR1, CSF2, TDP2, EHMT1, TNIP2, MALT1, LPL, IRF2, PSMA7, HDAC1, XPO1, PSME2, PSMB7, PSMB2, FBXW11, PPP2R2A, BTRC, UBE2D1, MTOR"
285190,RGPD4,MedConf,RNA transport,RNA transport,1,RANGAP1
84220,RGPD5,HighConf,RNA transport,RNA transport,1,RANGAP1
55658,RNF126,MedConf,Novel,,1,ATG7
64320,RNF25,MedConf,Novel,,1,ATG7
6118,RPA2,MedConf,Novel,,3,"POLR2J, EP300, USP7"
6134,RPL10,MedConf,Ribosome,Ribosome,40,"RPL27A, RPS10, RPS27, RPL7A, RPS4X, RPL10A, EIF1AX, RPS6, RPS20, RPL18, RPL17, RPL32, EIF3G, PPP2R2A, EIF3H, EIF4E, NCBP2, EXOSC3, MPHOSPH6, SEC61B, RPL37, RPL39L, SECISBP2, SPCS3, RPL6, EEF1A1, RPS15A, EXOSC9, EXOSC5, RPL9, RPS18, EIF3I, RPS8, ETF1, RPL18A, SEC61A1, RPS23, RPL4, RPLP0, RPL7"
4736,RPL10A,MedConf,Ribosome,Ribosome,41,"EIF1AX, RPS6, RPS20, RPL18, RPL17, RPL32, EIF3G, PPP2R2A, EIF3H, EIF4E, NCBP2, EXOSC3, MPHOSPH6, SEC61B, RPL37, ACTA2, RPL39L, SECISBP2, SPCS3, RPL6, EEF1A1, RPS15A, EXOSC9, EXOSC5, RPL9, RPS18, EIF3I, RPS8, ETF1, RPL18A, SEC61A1, RPS23, RPL4, RPLP0, RPL7, RPL10, RPL27A, RPS10, RPS27, RPL7A, RPS4X"
6139,RPL17,MedConf,Ribosome,Ribosome,42,"RPL32, EIF3G, PPP2R2A, EIF3H, EIF4E, NCBP2, EXOSC3, MPHOSPH6, SEC61B, RPL37, ACTA2, RPL39L, SECISBP2, SPCS3, RPL6, EEF1A1, RPS15A, EXOSC9, EXOSC5, RPL9, RPS18, EIF3I, RPS8, ETF1, FBL, RPL18A, SEC61A1, RPS23, RPL4, RPLP0, RPL7, RPL10, RPL27A, RPS10, RPS27, RPL7A, RPS4X, RPL10A, EIF1AX, RPS6, RPS20, RPL18"
6141,RPL18,MedConf,Ribosome,Ribosome,44,"RPL17, RPL32, EIF3G, PPP2R2A, EIF3H, EIF4E, NCBP2, EXOSC3, MPHOSPH6, SEC61B, RPL37, ACTA2, RPL39L, SECISBP2, SPCS3, RPL6, EEF1A1, RPS15A, EXOSC9, EXOSC5, RPL9, RPS18, EIF3I, RPS8, HNRNPU, ETF1, FBL, RPL18A, SEC61A1, RPS23, RPL4, RPLP0, RPL7, RPL10, RPL27A, RPS10, RPS27, RPL7A, RPS4X, RPL10A, EIF1AX, RPS6, NOP56, RPS20"
6142,RPL18A,MedConf,Ribosome,Ribosome,45,"SEC61A1, RPS23, RPL4, RPLP0, RPL7, RPL10, RPL27A, RPS10, RPS27, RPL7A, RPS4X, RPL10A, EIF1AX, RPS6, NOP56, RPS20, RPL18, RPL17, NOP58, RPL32, SF3B3, EIF3G, PPP2R2A, EIF3H, EIF4E, NCBP2, EXOSC3, MPHOSPH6, SEC61B, RPL37, RPL39L, SECISBP2, SPCS3, RPL6, EEF1A1, RPS15A, EXOSC9, EXOSC5, RPL9, RPS18, EIF3I, RPS8, HNRNPU, ETF1, FBL"
6157,RPL27A,MedConf,Ribosome,Ribosome,40,"RPS10, RPS27, RPL7A, RPS4X, RPL10A, EIF1AX, RPS6, RPS20, RPL18, RPL17, RPL32, EIF3G, PPP2R2A, EIF3H, EIF4E, NCBP2, EXOSC3, MPHOSPH6, SEC61B, RPL37, RPL39L, SECISBP2, SPCS3, RPL6, EEF1A1, RPS15A, EXOSC9, EXOSC5, RPL9, RPS18, EIF3I, RPS8, ETF1, RPL18A, SEC61A1, RPS23, RPL4, RPLP0, RPL7, RPL10"
6161,RPL32,MedConf,Ribosome,Ribosome,41,"EIF3G, PPP2R2A, EIF3H, EIF4E, NCBP2, EXOSC3, MPHOSPH6, SEC61B, RPL37, RPL39L, SECISBP2, SPCS3, RPL6, EEF1A1, RPS15A, EXOSC9, EXOSC5, RPL9, ILF3, RPS18, EIF3I, RPS8, ETF1, RPL18A, SEC61A1, RPS23, RPL4, RPLP0, RPL7, RPL10, RPL27A, RPS10, RPS27, RPL7A, RPS4X, RPL10A, EIF1AX, RPS6, RPS20, RPL18, RPL17"
6167,RPL37,MedConf,Ribosome,Ribosome,40,"RPL39L, SECISBP2, SPCS3, RPL6, EEF1A1, RPS15A, EXOSC9, EXOSC5, RPL9, RPS18, EIF3I, RPS8, ETF1, RPL18A, SEC61A1, RPS23, RPL4, RPLP0, RPL7, RPL10, RPL27A, RPS10, RPS27, RPL7A, RPS4X, RPL10A, EIF1AX, RPS6, RPS20, RPL18, RPL17, RPL32, EIF3G, PPP2R2A, EIF3H, EIF4E, NCBP2, EXOSC3, MPHOSPH6, SEC61B"
116832,RPL39L,MedConf,Novel,,31,"RPL6, EEF1A1, RPS15A, RPL9, RPS18, EIF3I, RPS8, RPL18A, RPS23, RPL4, RPLP0, RPL7, RPL10, RPL27A, RPS10, RPS27, RPL7A, RPS4X, RPL10A, EIF1AX, RPS6, RPS20, RPL18, RPL17, RPL32, EIF3G, PPP2R2A, EIF3H, EIF4E, NCBP2, RPL37"
6124,RPL4,MedConf,Ribosome,Ribosome,44,"RPLP0, RPL7, RPL10, RPL27A, RPS10, RPS27, RPL7A, RPS4X, RPL10A, EIF1AX, RPS6, NOP56, RPS20, RPL18, RPL17, NOP58, RPL32, EIF3G, PPP2R2A, EIF3H, EIF4E, NCBP2, RSL1D1, EXOSC3, MPHOSPH6, SEC61B, RPL37, RPL39L, SECISBP2, SPCS3, RPL6, EEF1A1, RPS15A, EXOSC9, EXOSC5, RPL9, RPS18, EIF3I, RPS8, ETF1, FBL, RPL18A, SEC61A1, RPS23"
6128,RPL6,MedConf,Ribosome,Ribosome,44,"EEF1A1, RPS15A, EXOSC9, EXOSC5, RPL9, RPS18, EIF3I, RPS8, ETF1, FBL, RPL18A, SEC61A1, RPS23, RPL4, RPLP0, RPL7, RPL10, RPL27A, RPS10, RPS27, RPL7A, RPS4X, RPL10A, EIF1AX, RPS6, NOP56, RPS20, RPL18, RPL17, NOP58, ALDH1B1, RPL32, EIF3G, PPP2R2A, EIF3H, EIF4E, NCBP2, EXOSC3, MPHOSPH6, SEC61B, RPL37, RPL39L, SECISBP2, SPCS3"
6129,RPL7,MedConf,Ribosome,Ribosome,43,"RPL10, RPL27A, RPS10, RPS27, RPL7A, RPS4X, RPL10A, EIF1AX, RPS6, NOP56, RPS20, RPL18, RPL17, NOP58, RPL32, EIF3G, PPP2R2A, EIF3H, EIF4E, NCBP2, EXOSC3, MPHOSPH6, SEC61B, RPL37, RPL39L, SECISBP2, SPCS3, RPL6, EEF1A1, RPS15A, EXOSC9, EXOSC5, RPL9, RPS18, EIF3I, RPS8, ETF1, FBL, RPL18A, SEC61A1, RPS23, RPL4, RPLP0"
6130,RPL7A,MedConf,Ribosome,Ribosome,41,"RPS4X, RPL10A, EIF1AX, RPS6, RPS20, RPL18, RPL17, RPL32, EIF3G, PPP2R2A, EIF3H, EIF4E, NCBP2, EXOSC3, MPHOSPH6, SEC61B, RPL37, ACTA2, RPL39L, SECISBP2, SPCS3, RPL6, EEF1A1, RPS15A, EXOSC9, EXOSC5, RPL9, RPS18, EIF3I, RPS8, ETF1, RPL18A, SEC61A1, RPS23, RPL4, RPLP0, RPL7, RPL10, RPL27A, RPS10, RPS27"
