"","EntrezID","GeneSymbol","GeneMappingID","ConfidenceCategory","Group","Pathway","Allnet.count","Ntwrk.all","NtwrkCount.PI3K-Akt signaling pathway","Ntwrk.PI3K-Akt signaling pathway","NtwrkCount.RNA transport","Ntwrk.RNA transport","NtwrkCount.NA","Ntwrk.NA","Total_Path_Hits.net.count"
"122",64946,"CENPH",286,"MedConf","Novel",NA,14,"ITGB3BP, RANGAP1, CENPO, CENPP, RANBP2, KIF18A, CDCA8, BUB1B, NUP43, PLK1, UBC, MIS12, RAD21, BIRC5",0,NA,3,"RANGAP1, RANBP2, NUP43",0,"",3
"123",79172,"CENPO",369,"HighConf","Novel",NA,13,"CENPP, RANBP2, KIF18A, CDCA8, CENPH, MIS12, BIRC5, RAD21, BUB1B, RANGAP1, NUP43, PLK1, ITGB3BP",0,NA,3,"RANGAP1, RANBP2, NUP43",0,"",3
"124",401541,"CENPP",372,"MedConf","Novel",NA,13,"RANBP2, KIF18A, CDCA8, MIS12, CENPO, NUP43, CENPH, BUB1B, ITGB3BP, PLK1, RANGAP1, RAD21, BIRC5",0,NA,3,"RANGAP1, RANBP2, NUP43",0,"",3
"125",22995,"CEP152",365,"MedConf","Novel",NA,9,"DYNLL1, DYNC1I2, PRKAR2B, CEP250, TUBA1A, PLK1, TUBA4A, DYNC1H1, YWHAG",1,"YWHAG",0,NA,0,"",1
"126",11190,"CEP250",751,"MedConf","Novel",NA,10,"DYNC1H1, PLK1, PRKAR2B, TUBA4A, DYNLL1, YWHAG, DYNC1I2, CEP152, TUBA1A, UBC",1,"YWHAG",0,NA,0,"",1
"127",10390,"CEPT1",543,"HighConf","Novel","Ether lipid metabolism",10,"LPCAT4, PPAP2A, PAFAH2, DGKZ, DGKE, PLA2G6, JMJD7-PLA2G4B, PLA2G4A, PLA2G4D, PAFAH1B3",0,NA,0,NA,0,"",0
"128",204219,"CERS3",571,"MedConf","Novel","Sphingolipid signaling pathway",3,"SGPP2, SMPD2, PPAP2A",0,NA,0,NA,0,"",0
"129",1072,"CFL1",240,"HighConf","Novel","Regulation of actin cytoskeleton, Fc gamma R-mediated phagocytosis",5,"CFL2, SSH3, UBC, PFN1, ACTA2",0,NA,0,NA,0,"",0
"130",1073,"CFL2",602,"MedConf","Novel","Regulation of actin cytoskeleton, Fc gamma R-mediated phagocytosis",3,"SSH3, UBC, CFL1",0,NA,0,NA,0,"",0
"131",8837,"CFLAR",270,"HighConf","Novel","NF-kappa B signaling pathway, TNF signaling pathway, Apoptosis",4,"TICAM1, RIPK1, MAX, UBC",0,NA,0,NA,0,"",0
"132",1080,"CFTR",315,"MedConf","Novel","cAMP signaling pathway",9,"PRKX, ADRB2, AGT, PRKAR2B, EDN1, STUB1, DNAJA1, UBC, VCP",0,NA,0,NA,0,"",0
"133",1108,"CHD4",48,"MedConf","Novel",NA,12,"MTA2, MORF4L1, KAT2B, PHF12, MBD3, PHF21A, ZFPM1, HDAC2, MBD2, UBC, HDAC4, SIN3A",0,NA,0,NA,0,"",0
"134",27243,"CHMP2A",207,"MedConf","Novel",NA,6,"VPS36, TSG101, VPS37C, RPS27A, UBB, UBC",0,NA,0,NA,0,"",0
"135",1129,"CHRM2",493,"MedConf","PI3K-Akt signaling pathway","PI3K-Akt signaling pathway, Regulation of actin cytoskeleton, cAMP signaling pathway, Neuroactive ligand-receptor interaction",31,"NPBWR2, RGS20, FPR3, NMS, BDKRB1, CXCR4, PTGDR2, HCAR2, CCR8, GNAO1, MTNR1B, CXCL8, CXCR3, CXCL11, GNG10, NPY, OPRM1, S1PR2, NMUR2, PNOC, HTR1A, CXCL13, GNG3, C5, GNA11, DRD2, GNA15, SSTR4, GNAI3, AGT, CXCR5",2,"GNG3, GNG10",0,NA,0,"",2
"136",1137,"CHRNA4",869,"HighConf","Novel","Neuroactive ligand-receptor interaction",3,"CHRNA5, CHRND, CHRNB4",0,NA,0,NA,0,"",0
"137",1138,"CHRNA5",598,"MedConf","Novel","Neuroactive ligand-receptor interaction",4,"CHRNB4, CHRNA4, UBC, CHRND",0,NA,0,NA,0,"",0
"138",1143,"CHRNB4",599,"MedConf","Novel","Neuroactive ligand-receptor interaction",3,"CHRNA4, CHRNA5, CHRND",0,NA,0,NA,0,"",0
"139",1144,"CHRND",434,"MedConf","Novel","Neuroactive ligand-receptor interaction",3,"CHRNA5, CHRNB4, CHRNA4",0,NA,0,NA,0,"",0
"140",26097,"CHTOP",746,"HighConf","Novel",NA,4,"THOC2, THOC7, THOC1, UBC",0,NA,3,"THOC7, THOC2, THOC1",0,"",3
"141",1164,"CKS2",611,"MedConf","Novel",NA,2,"CCNB2, UBC",0,NA,0,NA,0,"",0
"142",5010,"CLDN11",814,"MedConf","Novel","Leukocyte transendothelial migration",6,"CLDN6, MPDZ, CLDN15, CLDN14, CLDN2, CLDN19",0,NA,0,NA,0,"",0
"143",23562,"CLDN14",522,"HighConf","Novel","Leukocyte transendothelial migration",6,"CLDN2, CLDN6, CLDN15, CLDN11, CLDN19, MPDZ",0,NA,0,NA,0,"",0
"144",24146,"CLDN15",533,"MedConf","Novel","Leukocyte transendothelial migration",6,"CLDN11, CLDN14, CLDN2, CLDN19, CLDN6, MPDZ",0,NA,0,NA,0,"",0
"145",149461,"CLDN19",362,"MedConf","Novel","Leukocyte transendothelial migration",6,"MPDZ, CLDN14, CLDN2, CLDN6, CLDN15, CLDN11",0,NA,0,NA,0,"",0
"146",9075,"CLDN2",523,"MedConf","Novel","Leukocyte transendothelial migration",6,"CLDN6, CLDN15, CLDN11, MPDZ, CLDN14, CLDN19",0,NA,0,NA,0,"",0
"147",9074,"CLDN6",524,"MedConf","Novel","Leukocyte transendothelial migration",6,"CLDN15, CLDN11, CLDN19, MPDZ, CLDN14, CLDN2",0,NA,0,NA,0,"",0
"148",64581,"CLEC7A",776,"MedConf","Novel","Phagosome",1,"SYK",1,"SYK",0,NA,0,"",1
"149",9685,"CLINT1",691,"MedConf","Novel",NA,2,"CLTC, UBC",0,NA,0,NA,0,"",0
"150",1195,"CLK1",666,"MedConf","Novel",NA,1,"SRSF1",0,NA,0,NA,0,"",0
"151",1211,"CLTA",320,"MedConf","Novel","Endocrine and other factor-regulated calcium reabsorption",9,"EPN1, ARHGAP5, ASAP1, KIF4A, ASAP2, UBC, EGFR, CLTC, GOSR2",1,"EGFR",0,NA,0,"",1
"152",1213,"CLTC",279,"MedConf","Novel","Endocrine and other factor-regulated calcium reabsorption",8,"CLTA, SNX9, EPN1, CLINT1, WNT5A, UBC, MAP3K7, IKBKB",1,"IKBKB",0,NA,0,"",1
"153",255919,"CNEP1R1",845,"MedConf","Novel",NA,4,"PPP4R2, PPP4C, PPP2R5A, PPP2CB",2,"PPP2R5A, PPP2CB",0,NA,0,"",2
"154",1259,"CNGA1",512,"MedConf","Novel","cAMP signaling pathway",2,"GUCY2D, PDE6A",0,NA,0,NA,0,"",0
"155",55571,"CNOT11",766,"MedConf","Novel",NA,4,"EIF4G1, UBC, EIF4A1, EIF4B",0,NA,3,"EIF4G1, EIF4B, EIF4A1",0,"",3
"156",1271,"CNTFR",351,"MedConf","Novel","Cytokine-cytokine receptor interaction, Jak-STAT signaling pathway",12,"IL22, IL3, IFNA16, PRL, CSF2, IFNA13, IL19, IFNA14, GH2, IL12A, EPO, SOCS2",7,"PRL, IL3, IFNA16, IFNA14, IFNA13, GH2, EPO",0,NA,0,"",7
"157",6900,"CNTN2",585,"HighConf","Novel",NA,4,"NCAM1, IKBKB, UBC, KAT2B",1,"IKBKB",0,NA,0,"",1
"158",1300,"COL10A1",579,"MedConf","Novel",NA,9,"COL20A1, COL23A1, LEPRE1, COL4A3, COL4A2, P4HB, COL1A2, COL17A1, COL6A1",4,"COL6A1, COL4A3, COL4A2, COL1A2",0,NA,0,"",4
"159",1308,"COL17A1",384,"HighConf","Novel",NA,7,"COL1A2, COL4A2, COL6A1, COL4A3, COL10A1, COL20A1, COL23A1",4,"COL6A1, COL4A3, COL4A2, COL1A2",0,NA,0,"",4
"160",1278,"COL1A2",399,"HighConf","PI3K-Akt signaling pathway","PI3K-Akt signaling pathway, Focal adhesion, AGE-RAGE signaling pathway in diabetic complications, Relaxin signaling pathway, ECM-receptor interaction, Platelet activation",19,"ITGA1, EDN1, COL4A2, COL6A1, COL4A3, COL10A1, COL20A1, COL23A1, LEPRE1, P4HB, MAX, ITGA5, ITGAV, JUN, SMAD4, FLT4, COL17A1, ITGB1, SP1",8,"ITGB1, ITGAV, ITGA5, ITGA1, FLT4, COL6A1, COL4A3, COL4A2",0,NA,0,"",8
"161",57642,"COL20A1",580,"MedConf","Novel",NA,7,"COL23A1, COL6A1, COL4A3, COL17A1, COL1A2, COL10A1, COL4A2",4,"COL6A1, COL4A3, COL4A2, COL1A2",0,NA,0,"",4
"162",91522,"COL23A1",848,"HighConf","Novel",NA,8,"COL20A1, COL17A1, COL10A1, COL1A2, ITGB1, COL4A3, COL6A1, COL4A2",5,"ITGB1, COL6A1, COL4A3, COL4A2, COL1A2",0,NA,0,"",5
"163",1284,"COL4A2",534,"MedConf","PI3K-Akt signaling pathway","PI3K-Akt signaling pathway, Focal adhesion, AGE-RAGE signaling pathway in diabetic complications, Relaxin signaling pathway, ECM-receptor interaction",11,"COL6A1, COL4A3, COL10A1, COL20A1, COL23A1, ITGA5, COL1A2, ITGB1, ITGA1, COL17A1, ITGAV",7,"ITGB1, ITGAV, ITGA5, ITGA1, COL6A1, COL4A3, COL1A2",0,NA,0,"",7
"164",1285,"COL4A3",578,"MedConf","PI3K-Akt signaling pathway","PI3K-Akt signaling pathway, Focal adhesion, AGE-RAGE signaling pathway in diabetic complications, Relaxin signaling pathway, ECM-receptor interaction",11,"COL10A1, COL20A1, COL23A1, ITGAV, ITGA5, COL4A2, ITGA1, COL17A1, COL1A2, ITGB1, COL6A1",7,"ITGB1, ITGAV, ITGA5, ITGA1, COL6A1, COL4A2, COL1A2",0,NA,0,"",7
"165",1291,"COL6A1",535,"MedConf","PI3K-Akt signaling pathway","PI3K-Akt signaling pathway, Focal adhesion, ECM-receptor interaction",11,"COL4A3, COL10A1, COL20A1, COL23A1, ITGA1, ITGB1, COL4A2, COL17A1, ITGAV, ITGA5, COL1A2",7,"ITGB1, ITGAV, ITGA5, ITGA1, COL4A3, COL4A2, COL1A2",0,NA,0,"",7
"166",9318,"COPS2",274,"MedConf","Novel",NA,11,"SIN3B, COPS7A, LAT, COPS6, UBC, PSMC5, PSMA6, COPS5, SIN3A, PSMC1, JUN",0,NA,0,NA,0,"",0
"167",10987,"COPS5",125,"MedConf","Novel",NA,19,"EIF3A, EIF3J, TOP2A, SMAD4, EPO, CREB1, COPS2, ARNT, EDN1, COPS7A, JUN, IKBKB, PSMA6, EIF3B, COPS6, PSMD12, UBC, EIF3I, LAT",3,"IKBKB, EPO, CREB1",4,"EIF3J, EIF3I, EIF3B, EIF3A",0,"",7
"168",10980,"COPS6",105,"MedConf","Novel",NA,7,"COPS5, RAE1, COPS2, KLHL8, COPS7A, LAT, UBC",0,NA,1,"RAE1",0,"",1
"169",50813,"COPS7A",663,"HighConf","Novel",NA,5,"UBC, COPS5, LAT, COPS2, COPS6",0,NA,0,NA,0,"",0
"170",1385,"CREB1",261,"HighConf","PI3K-Akt signaling pathway","PI3K-Akt signaling pathway, Thyroid hormone synthesis, TNF signaling pathway, cAMP signaling pathway, Osteoclast differentiation, Relaxin signaling pathway, Vasopressin-regulated water reabsorption, Renin secretion, Insulin secretion, Adrenergic signaling in cardiomyocytes, Dopaminergic synapse",17,"ARNT, MAPK13, PRKX, PRKAR2B, EDN1, CEBPD, NR1D1, RORA, G6PC, JUN, ESRRA, EPO, RET, COPS5, RBPJ, UBC, HDAC2",2,"G6PC, EPO",0,NA,0,"",2
"171",10488,"CREB3",693,"MedConf","PI3K-Akt signaling pathway","PI3K-Akt signaling pathway, Thyroid hormone synthesis, TNF signaling pathway, cAMP signaling pathway, Relaxin signaling pathway, Vasopressin-regulated water reabsorption, Insulin secretion, Adrenergic signaling in cardiomyocytes, Dopaminergic synapse",2,"PRKX, HCFC1",0,NA,0,NA,0,"",0
"172",1436,"CSF1R",346,"HighConf","PI3K-Akt signaling pathway","PI3K-Akt signaling pathway, Cytokine-cytokine receptor interaction, Rap1 signaling pathway, Osteoclast differentiation, Ras signaling pathway, Hematopoietic cell lineage",13,"EPN1, EFNA2, FGF9, FGF12, FGF8, SH3GLB2, FGF10, ITGAV, SHC2, RPS27A, SPI1, UBC, SH3GLB1",6,"ITGAV, FGF9, FGF8, FGF12, FGF10, EFNA2",0,NA,0,"",6
"173",1437,"CSF2",790,"MedConf","Novel","Cytokine-cytokine receptor interaction, TNF signaling pathway, Hematopoietic cell lineage, Fc epsilon RI signaling pathway, T cell receptor signaling pathway, Jak-STAT signaling pathway",13,"STAT1, IL21R, SYK, IL12RB2, IKBKB, JUN, RELA, ITGB1, CNTFR, HDAC2, GAB2, IL3RA, IL3",6,"SYK, RELA, ITGB1, IL3RA, IL3, IKBKB",0,NA,0,"",6
"174",53944,"CSNK1G1",757,"MedConf","Novel",NA,6,"SFN, UBC, YWHAH, WNT3A, GSK3A, YWHAG",2,"YWHAH, YWHAG",0,NA,0,"",2
"175",1459,"CSNK2A2",251,"HighConf","Novel","NF-kappa B signaling pathway, Mitophagy - animal",5,"HADHA, RRP1, TOP2A, UBC, MAF1",0,NA,0,NA,0,"",0
"176",10675,"CSPG5",803,"MedConf","Novel",NA,2,"AGRN, GPC2",0,NA,0,NA,0,"",0
"177",1490,"CTGF",822,"MedConf","Novel",NA,3,"ITGAM, NCOA6, YAP1",0,NA,0,NA,0,"",0
"178",1500,"CTNND1",335,"HighConf","Novel","Rap1 signaling pathway, Leukocyte transendothelial migration",12,"IGF2, CDH18, CABLES1, PLEKHA7, CDC42, UBC, CDH5, VCL, EGFR, RET, PIP5K1C, RAP1A",1,"EGFR",0,NA,0,"",1
"179",1509,"CTSD",702,"MedConf","Novel","Sphingolipid signaling pathway, Apoptosis",1,"UBC",0,NA,0,NA,0,"",0
"180",83992,"CTTNBP2",622,"MedConf","Novel",NA,2,"PPP2CB, CCT2",1,"PPP2CB",0,NA,0,"",1
"181",1524,"CX3CR1",157,"MedConf","Novel","Cytokine-cytokine receptor interaction, Chemokine signaling pathway",10,"CCL7, GNAI3, ADRBK1, CXCL13, CXCL8, CCL13, CXCL11, XCL2, PF4, GRK4",0,NA,0,NA,0,"",0
"182",6373,"CXCL11",462,"MedConf","Novel","Toll-like receptor signaling pathway, Cytokine-cytokine receptor interaction, Chemokine signaling pathway",29,"HTR1A, SSTR4, PTGDR2, S1PR2, HCAR2, CHRM2, NPBWR2, RGS20, FPR3, NMS, BDKRB1, PF4, NPY, DRD2, MTNR1B, CXCR4, CXCL13, CXCR3, CXCR5, AGT, CCR8, CXCL8, MAP2K6, CX3CR1, NMUR2, C5, OPRM1, GNAI3, PNOC",1,"CHRM2",0,NA,0,"",1
"183",10563,"CXCL13",380,"MedConf","Novel","Cytokine-cytokine receptor interaction, Chemokine signaling pathway",27,"CXCL8, MTNR1B, CXCR3, NPY, DRD2, PNOC, CXCL11, HTR1A, SSTR4, PTGDR2, S1PR2, HCAR2, CHRM2, NPBWR2, RGS20, FPR3, NMS, BDKRB1, GNAI3, C5, OPRM1, CXCR5, NMUR2, CCR8, CXCR4, CX3CR1, AGT",1,"CHRM2",0,NA,0,"",1
"184",3576,"CXCL8",395,"MedConf","Novel","NF-kappa B signaling pathway, Toll-like receptor signaling pathway, Cytokine-cytokine receptor interaction, NOD-like receptor signaling pathway, Chemokine signaling pathway, AGE-RAGE signaling pathway in diabetic complications, RIG-I-like receptor signaling pathway, Phospholipase D signaling pathway",41,"MTNR1B, CXCR3, NPY, DRD2, PNOC, CXCL11, HTR1A, SSTR4, PTGDR2, S1PR2, HCAR2, CHRM2, NPBWR2, RGS20, FPR3, NMS, BDKRB1, PARN, GNAI3, RPS27A, GNA15, JUN, DNM1, CCR8, UBB, RAB5A, CXCL13, OPRM1, ADRBK1, UBC, EGFR, EXOSC4, EHMT1, NMUR2, RELA, CX3CR1, CXCR4, AGT, C5, EXOSC5, CXCR5",3,"RELA, EGFR, CHRM2",0,NA,0,"",3
"185",2833,"CXCR3",425,"MedConf","Novel","Cytokine-cytokine receptor interaction, Chemokine signaling pathway",34,"NPY, DRD2, PNOC, CXCL11, HTR1A, SSTR4, PTGDR2, S1PR2, HCAR2, CHRM2, NPBWR2, RGS20, FPR3, NMS, BDKRB1, XCL2, PF4, GRK4, CCL13, CXCL13, DNM1, MTNR1B, AGT, GNAI3, C5, CCR8, OPRM1, GNAO1, ADRBK1, CXCR4, CXCR5, CXCL8, NMUR2, CCL7",1,"CHRM2",0,NA,0,"",1
"186",7852,"CXCR4",316,"HighConf","Novel","Cytokine-cytokine receptor interaction, Leukocyte transendothelial migration, Chemokine signaling pathway",42,"C5, ADRB2, NMUR2, DNM1, AGT, ADRBK1, CXCR5, CXCL13, CXCL8, MTNR1B, CCL13, EDN1, CXCR3, NPY, DRD2, TLR2, PNOC, CXCL11, HTR1A, SSTR4, PTGDR2, S1PR2, HCAR2, CHRM2, NPBWR2, RGS20, FPR3, NMS, BDKRB1, XCL2, PF4, GRK4, GNAO1, ARNT, CCR8, PXN, CDC42, STAT1, GNAI3, UBC, OPRM1, CCL7",2,"TLR2, CHRM2",0,NA,0,"",2
"187",643,"CXCR5",375,"MedConf","Novel","Cytokine-cytokine receptor interaction, Chemokine signaling pathway",32,"CXCL13, CXCL8, MTNR1B, CCL13, CXCR3, NPY, DRD2, PNOC, CXCL11, HTR1A, SSTR4, PTGDR2, S1PR2, HCAR2, CHRM2, NPBWR2, RGS20, FPR3, NMS, BDKRB1, XCL2, PF4, GRK4, AGT, GNAI3, OPRM1, NMUR2, C5, CCR8, ADRBK1, CCL7, CXCR4",1,"CHRM2",0,NA,0,"",1
"188",1540,"CYLD",652,"HighConf","Novel","Osteoclast differentiation, RIG-I-like receptor signaling pathway",7,"TNFRSF1A, RIPK1, TUBA1A, UBB, RPS27A, STAT1, UBC",0,NA,0,NA,0,"",0
"189",1548,"CYP2A6",477,"MedConf","Novel",NA,10,"CYP3A5, GSTA1, GRAMD3, GSTA3, REEP2, GSTP1, GTSE1, BIRC5, GSTO1, MGST1",0,NA,0,NA,0,"",0
"190",1577,"CYP3A5",483,"MedConf","Novel",NA,6,"GSTA1, GSTA3, MGST1, GSTO1, CYP2A6, GSTP1",0,NA,0,NA,0,"",0
"191",1603,"DAD1",211,"HighConf","Novel",NA,3,"SEC61A1, PCNA, UBC",0,NA,0,NA,0,"",0
"192",1633,"DCK",550,"MedConf","Novel",NA,6,"AK7, PDE1B, AMPD1, NT5C, AK4, UBC",0,NA,0,NA,0,"",0
"193",51164,"DCTN4",294,"MedConf","Novel","Vasopressin-regulated water reabsorption",7,"DYNC1H1, RILP, DYNLL1, DYNC1I2, DYNC2LI1, UBC, DYNC1I1",0,NA,0,NA,0,"",0
"194",1654,"DDX3X",637,"MedConf","Novel","RIG-I-like receptor signaling pathway",5,"EIF3B, EIF2S1, PRPF8, EIF4G1, UBC",0,NA,3,"EIF4G1, EIF3B, EIF2S1",0,"",3
"195",51428,"DDX41",777,"MedConf","Novel",NA,3,"RPS27A, UBB, UBC",0,NA,0,NA,0,"",0
"196",51071,"DERA",577,"MedConf","Novel",NA,5,"TKTL2, G6PC, PGAM2, ALDOA, GAPDH",1,"G6PC",0,NA,0,"",1
"197",84649,"DGAT2",545,"MedConf","Novel",NA,3,"PPAP2A, DGKZ, DGKE",0,NA,0,NA,0,"",0
"198",8526,"DGKE",830,"MedConf","Novel","Phospholipase D signaling pathway",2,"DGAT2, CEPT1",0,NA,0,NA,0,"",0
"199",8525,"DGKZ",829,"MedConf","Novel","Phospholipase D signaling pathway",2,"DGAT2, CEPT1",0,NA,0,NA,0,"",0
"200",56616,"DIABLO",201,"MedConf","Novel","Apoptosis",4,"USP13, BIRC5, UBC, BCL2L1",1,"BCL2L1",0,NA,0,"",1
"201",1745,"DLX1",878,"MedConf","Novel",NA,1,"SMAD4",0,NA,0,NA,0,"",0
"202",146754,"DNAH2",595,"MedConf","Novel",NA,6,"CCDC114, DYNC1H1, DYNC1I1, DYNLL1, DYNLT3, DNAI2",0,NA,0,NA,0,"",0
"203",64446,"DNAI2",262,"MedConf","Novel",NA,6,"DYNC1I1, DYNLT3, DYNC1H1, DYNLL1, DNAH2, CCDC114",0,NA,0,NA,0,"",0
"204",3301,"DNAJA1",5,"MedConf","Novel",NA,3,"PARK2, CFTR, UBC",0,NA,0,NA,0,"",0
"205",10049,"DNAJB6",226,"MedConf","Novel",NA,6,"HSPH1, PRNP, HSPB2, UBC, HDAC4, UBB",0,NA,0,NA,0,"",0
"206",1759,"DNM1",356,"MedConf","Novel","Phospholipase D signaling pathway, Endocrine and other factor-regulated calcium reabsorption",14,"AGT, CXCL8, EDN1, CXCR3, GABRA5, GABRA6, GABRA2, UBC, CXCR4, SNX9, EPN1, EGFR, HCLS1, JAG1",1,"EGFR",0,NA,0,"",1
"207",10059,"DNM1L",628,"HighConf","Novel","TNF signaling pathway, NOD-like receptor signaling pathway",3,"BCL2L1, PGAM5, UBC",1,"BCL2L1",0,NA,0,"",1
"208",1791,"DNTT",756,"MedConf","Novel","Hematopoietic cell lineage",2,"MAX, UBC",0,NA,0,NA,0,"",0
"209",116092,"DNTTIP1",778,"MedConf","Novel",NA,1,"HDAC2",0,NA,0,NA,0,"",0
"210",55619,"DOCK10",877,"MedConf","Novel",NA,1,"CDC42",0,NA,0,NA,0,"",0
"211",1813,"DRD2",429,"MedConf","Novel","Rap1 signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Dopaminergic synapse",34,"PNOC, CXCL11, HTR1A, SSTR4, PTGDR2, S1PR2, HCAR2, CHRM2, NPBWR2, RGS20, FPR3, NMS, BDKRB1, SLC6A3, GNG10, CXCL13, GNAI3, OPRM1, CCR8, PPP2R5A, AGT, GNG3, ADRBK1, PPP2CB, CXCR5, CXCR4, NPY, PPP2R5E, NMUR2, CXCR3, GNAO1, CXCL8, MTNR1B, C5",6,"PPP2R5E, PPP2R5A, PPP2CB, GNG3, GNG10, CHRM2",0,NA,0,"",6
"212",1816,"DRD5",801,"MedConf","Novel","cAMP signaling pathway, Neuroactive ligand-receptor interaction, Dopaminergic synapse",11,"CALCR, PTGER2, HTR6, MC2R, SCT, PTGIR, VIPR1, GPBAR1, GHRH, ADRB2, HRH2",0,NA,0,NA,0,"",0
"213",1840,"DTX1",662,"HighConf","Novel","Notch signaling pathway",4,"UBC, NCSTN, RPS27A, UBB",0,NA,0,NA,0,"",0
"214",11221,"DUSP10",332,"MedConf","Novel","MAPK signaling pathway",1,"MAPK13",0,NA,0,NA,0,"",0
"215",1847,"DUSP5",741,"HighConf","Novel","MAPK signaling pathway",2,"MAPK13, UBC",0,NA,0,NA,0,"",0
"216",1848,"DUSP6",330,"HighConf","Novel","MAPK signaling pathway",1,"MAPK13",0,NA,0,NA,0,"",0
"217",1849,"DUSP7",819,"MedConf","Novel","MAPK signaling pathway",1,"MAPK13",0,NA,0,NA,0,"",0
"218",1778,"DYNC1H1",334,"MedConf","Novel","Vasopressin-regulated water reabsorption, Phagosome",21,"RILP, CEP152, DYNLL1, DYNC1I2, PRKAR2B, DNAH2, CEP250, DYNC2LI1, CCDC114, UBC, YARS, TUBA4A, DYNLT3, TUBA1A, DYNC1I1, YWHAG, DCTN4, DNAI2, CDC5L, PLK1, SAP30BP",1,"YWHAG",0,NA,0,"",1
"219",1780,"DYNC1I1",285,"MedConf","Novel","Vasopressin-regulated water reabsorption, Phagosome",12,"DCTN4, DYNLT3, DYNC1H1, RILP, DYNLL1, DYNC1I2, DNAH2, DYNC2LI1, CCDC114, TUBA4A, TUBA1A, DNAI2",0,NA,0,NA,0,"",0
"220",1781,"DYNC1I2",406,"MedConf","Novel","Vasopressin-regulated water reabsorption, Phagosome",15,"PRKAR2B, CEP250, DYNC2LI1, UBC, PLK1, TUBA4A, DYNC1H1, DCTN4, TUBA1A, DYNC1I1, RILP, DYNLL1, DYNLT3, YWHAG, CEP152",1,"YWHAG",0,NA,0,"",1
"221",51626,"DYNC2LI1",788,"MedConf","Novel","Vasopressin-regulated water reabsorption",6,"DYNLL1, DCTN4, DYNC1I1, DYNC1I2, DYNC1H1, RILP",0,NA,0,NA,0,"",0
"222",8655,"DYNLL1",396,"MedConf","Novel","Vasopressin-regulated water reabsorption",20,"DYNC1I2, PRKAR2B, DNAH2, CEP250, DYNC2LI1, CCDC114, TUBA1A, CEP152, TUBA4A, DYNLT3, UBC, DNAI2, DCTN4, PLK1, DYNC1I1, TRAF3IP3, GNB2L1, RILP, YWHAG, DYNC1H1",1,"YWHAG",0,NA,0,"",1
"223",6990,"DYNLT3",295,"MedConf","Novel",NA,7,"DYNC1H1, DYNLL1, DYNC1I2, DNAH2, CCDC114, DNAI2, DYNC1I1",0,NA,0,NA,0,"",0
"224",1871,"E2F3",177,"MedConf","Novel","Cell cycle",14,"ACACB, SPI1, SUZ12, MYBL2, MCM8, CCND3, SNW1, KAT2B, CCND2, MAX, MSH2, SP1, CCNE1, RBPJ",3,"CCNE1, CCND3, CCND2",0,NA,0,"",3
"225",10148,"EBI3",574,"MedConf","Novel",NA,3,"IL27RA, IL12A, STAT1",0,NA,0,NA,0,"",0
"226",1896,"EDA",426,"MedConf","Novel","Cytokine-cytokine receptor interaction",1,"EDAR",0,NA,0,NA,0,"",0
"227",10913,"EDAR",732,"MedConf","Novel","Cytokine-cytokine receptor interaction",1,"EDA",0,NA,0,NA,0,"",0
"228",1906,"EDN1",417,"MedConf","Novel","TNF signaling pathway, AGE-RAGE signaling pathway in diabetic complications, Relaxin signaling pathway",33,"TACR1, TACR3, GNA11, KALRN, AVPR1A, NMS, BDKRB1, KISS1, PROK1, TRH, LTB4R, MLNR, UTS2B, GPR4, XCL2, GNRH2, AGT, ADRBK1, ADRB2, JUN, ARNT, NMUR2, GNA15, COL1A2, CFTR, CXCR4, GNAI3, CREB1, PRKAR2B, DNM1, EGFR, GNAO1, COPS5",3,"EGFR, CREB1, COL1A2",0,NA,0,"",3
"229",29904,"EEF2K",331,"MedConf","Novel",NA,3,"MAPK13, UBC, RAE1",0,NA,1,"RAE1",0,"",1
"230",1943,"EFNA2",460,"MedConf","PI3K-Akt signaling pathway","PI3K-Akt signaling pathway, Rap1 signaling pathway, Ras signaling pathway",8,"EPHA6, FLT4, PDGFRA, CSF1R, FGFR3, NGFR, EGFR, PDGFRB",7,"PDGFRB, PDGFRA, NGFR, FLT4, FGFR3, EGFR, CSF1R",0,NA,0,"",7
"231",9343,"EFTUD2",129,"MedConf","Novel","Spliceosome",29,"SF3B6, SRRM1, CD2BP2, POLR2F, POLR2J, HNRNPA2B1, HNRNPH1, PTBP1, SRSF2, YBX1, PHF5A, SRSF1, SRSF3, CCAR1, HNRNPM, PAPOLA, BCAS2, IK, PCF11, SF3B2, PRPF8, RPL19, SNRPD3, UBC, RPS2, XAB2, SF3B1, CDC5L, SNW1",0,NA,1,"SRRM1",0,"",1
