"GeneSymbol","Replicate1","X","EntrezID","Zscore","NetworkDegree","Exp_Stat_Value","KEGGdb","LowestCSAscore","LowestCSAscoreCorrected","ZSdes","NAdes","CSAdes","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","KEGG.4","KEGG.class.iteration4","Network.4","Network.class.iteration4","Pathway"
"CAPRIN2",1,13548,65981,-3.288,1,1,"Absent",1.127,1.127,"HitbyZS","HitbyNA","HitbyCSA","HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"CAPS",0,15525,828,0.056,0,1,"Absent",0.972,0.972,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CAPS2",0,16167,84698,1.764,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CAPSL",0,2113,133690,0.115,0,0,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CAPZA1",0,15530,829,-0.688,0,1,"Absent",1,1,"0","0","0",NA,"No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"CAPZA2",0,15537,830,1.612,0,1,"Absent",1.155,1.155,"0","0","0",NA,"No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"CAPZA3",0,17503,93661,-0.155,0,0,"Absent",1,1,"0","0","0",NA,"No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"CAPZB",0,15550,832,-0.106,0,1,"Absent",1,1,"0","0","0",NA,"No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"CARD10",0,6669,29775,1.203,0,1,"Absent",1,1,"0","0","0",NA,"Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CARD11",0.5,16026,84433,-1.812,5,1,"Present",1.047,1.047,"0","HitbyNA","HitbyCSA",NA,"Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CARD14",0,14614,79092,1.148,0,1,"Absent",1,1,"0","0","0",NA,"Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CARD16",0,1262,114769,1.403,0,1,"Absent",1.155,1.155,"0","0","0",NA,"No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CARD17",0,8822,440068,0.261,0,1,"Absent",1,1,"0","0","0",NA,"No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CARD18",0,12451,59082,0.504,0,1,"Present",1,1,"0","0","0",NA,"No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CARD6",0,16148,84674,-0.33,0,1,"Present",1,1,"0","0","0",NA,"No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CARD8",0,4345,22900,-0.234,0,1,"Present",1,1,"0","0","0",NA,"No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CARD9",0,13020,64170,-0.683,0,1,"Present",1,1,"0","0","0",NA,"No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CARF",0,14900,79800,0.666,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CARHSP1",0,4889,23589,1.725,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CARKD",0,11323,55739,0.453,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CARM1",0,457,10498,1.885,0,1,"Absent",1.155,1.155,"0","0","0",NA,"No","0","No","0","Yes","0","No","0","No","0","No","0","No","0","No","0",NA
"CARS",0,15561,833,1.292,0,1,"Present",1,1,"0","0","0",NA,"No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"CARS2",0,14733,79587,0.001,0,1,"Present",1,1,"0","0","0",NA,"No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"CARTPT",1,17754,9607,-2.209,0,1,"Absent",1,1,"HitbyZS","HitbyNA","HitbyCSA","HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"CASC1",1,11002,55259,-2.533,0,1,"Absent",1.155,1.155,"HitbyZS","HitbyNA","HitbyCSA","HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"CASC10",0,8366,399726,-0.914,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CASC3",0,4258,22794,-0.642,0,1,"Present",0.696,0.696,"0","0","0",NA,"No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CASC4",0,1174,113201,-0.637,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CASC5",0,11870,57082,-0.479,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CASD1",0,13326,64921,-0.709,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CASK",0,16501,8573,-0.286,0,1,"Present",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CASKIN1",1,12105,57524,-2.551,0,1,"Absent",0.159,0.159,"HitbyZS","HitbyNA","HitbyCSA","HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"CASKIN2",1,12098,57513,-3.307,0,1,"Absent",1.155,1.155,"HitbyZS","HitbyNA","HitbyCSA","HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"CASP1",0,15572,834,0.23,0,1,"Present",1,1,"0","0","0",NA,"No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CASP10",0,15969,843,0.022,0,1,"Present",1,1,"0","0","0",NA,"Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CASP14",0,4881,23581,0.545,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CASP2",0,15611,835,0.187,0,1,"Absent",1,1,"0","0","0",NA,"Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CASP3",0,15643,836,0.095,0,1,"Present",1,1,"0","0","0",NA,"Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CASP4",0,15685,837,1.668,0,1,"Absent",1,1,"0","0","0",NA,"No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CASP5",0,15715,838,-0.569,0,1,"Present",1,1,"0","0","0",NA,"No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CASP6",0,15759,839,-0.523,0,1,"Present",1,1,"0","0","0",NA,"Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CASP7",0,15796,840,-0.753,0,1,"Present",1,1,"0","0","0",NA,"Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CASP8",0,15838,841,-0.744,0,1,"Present",1,1,"0","0","0",NA,"Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CASP8AP2",0,18109,9994,0.667,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CASP9",0,15893,842,2.547,0,1,"Present",1.155,1.155,"0","0","0",NA,"Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CASQ1",0.5,16019,844,-1.227,0,0,"Absent",0.686,0.686,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CASQ2",0,16058,845,0.195,0,0,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CASR",0,16101,846,0.733,0,0,"Absent",1,1,"0","0","0",NA,"No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CASS4",0,11876,57091,0.427,0,0,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CAST",0.5,15542,831,-1.253,4,1,"Absent",0.678,0.678,"0","HitbyNA","HitbyCSA",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CASZ1",0,10675,54897,2.088,0,1,"Absent",1.155,1.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CAT",0,16169,847,1.416,0,1,"Present",1.155,1.155,"0","0","0",NA,"No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CATIP",0.5,7814,375307,-1.148,0,0,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CATSPER1",0,1452,117144,-0.627,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CATSPER2",0.5,1456,117155,-1.591,0,1,"Absent",0.802,0.802,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CATSPER3",0,7475,347732,-0.888,0,0,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CATSPER4",0,7886,378807,0.61,0,0,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CATSPERB",0.5,14918,79820,-1.326,0,1,"Absent",1.155,1.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CATSPERD",0,5238,257062,-0.259,0,0,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CATSPERG",0.5,12290,57828,-1.811,0,1,"Absent",0.645,0.645,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CAV1",0,16498,857,-0.573,0,1,"Present",1,1,"0","0","0",NA,"No","0","No","0","No","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CAV2",0,16507,858,-0.375,0,1,"Present",1,1,"0","0","0",NA,"No","0","No","0","No","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CAV3",0.5,16510,859,-1.841,9,1,"Present",1.155,1.155,"0","HitbyNA","HitbyCSA",NA,"No","0","No","0","No","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CBFA2T2",0,17141,9139,0.194,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CBFA2T3",0,16539,863,0.049,0,0,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CBFB",0,16559,865,-0.092,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CBL",0,16579,867,0.652,0,1,"Present",1,1,"0","0","0",NA,"No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"CBLB",0,16588,868,-0.794,0,1,"Present",1,1,"0","0","0",NA,"No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"CBLC",0,4914,23624,0.723,0,0,"Present",1,1,"0","0","0",NA,"No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"CBLL1",0,14961,79872,-0.699,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CBLN1",0,16596,869,-0.279,0,0,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CBLN2",0,2598,147381,-0.36,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CBLN3",0,13110,643866,0.613,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CBLN4",1,2336,140689,-2.182,0,1,"Absent",1,1,"HitbyZS","HitbyNA","HitbyCSA","HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"CBR1",0.5,16631,873,-1.547,3,1,"Present",1,1,"0","HitbyNA","HitbyCSA",NA,"No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"CBR3",0,16640,874,1.753,0,1,"Present",1.155,1.155,"0","0","0",NA,"No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"CBR4",0.5,16238,84869,-1.577,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CBS",0,16650,875,0.663,0,1,"Present",1,1,"0","0","0",NA,"No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"CBWD1",0,11446,55871,0.242,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CBWD3",0,8930,445571,1.329,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CBWD5",0,4087,220869,0.035,0,0,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CBWD6",0,13125,644019,1.265,0,0.5,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CBX1",0,828,10951,0.573,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CBX3",0,1194,11335,0.141,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CBX4",0,16411,8535,0.818,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CBX5",0,4791,23468,0.359,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CBX6",0,4789,23466,2.169,0,1,"Absent",1.155,1.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CBX7",0,4806,23492,0.549,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CBX8",0,12003,57332,-0.397,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CBY1",0,5268,25776,-0.083,0,1,"Absent",0.151,0.151,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CC2D1A",0,10642,54862,-0.354,0,1,"Absent",0.972,0.972,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CC2D1B",0,3677,200014,0.411,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CC2D2A",0,12124,57545,0.22,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CC2D2B",0,8003,387707,0.394,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCAR1",1,11332,55749,-2.11,3,1,"Absent",1,1,"HitbyZS","HitbyNA","HitbyCSA","HighConf","Missing","MedConf","Yes","HighConf","Missing","MedConf","Yes","HighConf","Missing","MedConf","Yes","HighConf","Missing","MedConf","Yes","HighConf",NA
"CCAR2",0,12277,57805,0.075,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCBE1",0,2597,147372,-0.477,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCBL1",0,16713,883,1.82,0,1,"Present",1.155,1.155,"0","0","0",NA,"No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"CCBL2",0,11622,56267,0.463,0,1,"Present",0.678,0.678,"0","0","0",NA,"No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"CCDC101",0,1141,112869,0.414,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC102A",0.5,17397,92922,-1.241,0,0,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC102B",1,14933,79839,-2.629,0,1,"Absent",0.404,0.404,"HitbyZS","HitbyNA","HitbyCSA","HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"CCDC103",0,8043,388389,0.004,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC105",0,1817,126402,0.35,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC106",0,6715,29903,1.885,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC107",0,3808,203260,-0.41,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC108",0,5153,255101,1.13,0,0,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC109B",0,10783,55013,0.547,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC110",0,5203,256309,1.132,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC112",0,2897,153733,0.934,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC113",0,6560,29070,-0.322,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC114",0.5,17443,93233,-1.462,0,1,"Absent",0.977,0.977,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC115",0,15987,84317,0.167,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC116",0,3219,164592,0.153,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC117",0,2742,150275,-0.614,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC12",1,2824,151903,-2.624,0,1,"Present",1.155,1.155,"HitbyZS","HitbyNA","HitbyCSA","HighConf","Yes","HighConf","No","HighConf","Yes","HighConf","No","HighConf","Yes","HighConf","No","HighConf","Yes","HighConf","No","HighConf","Spliceosome"
"CCDC120",0.5,16898,90060,-1.705,1,1,"Absent",1,1,"0","HitbyNA","HitbyCSA",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC121",1,14767,79635,-2.176,0,1,"Absent",1,1,"HitbyZS","HitbyNA","HitbyCSA","HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"CCDC122",0,3090,160857,0.02,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC124",0,1324,115098,-0.164,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC125",0,3778,202243,2.792,0,1,"Absent",1.155,1.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC126",0,17022,90693,-0.991,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC127",0,2117,133957,1.153,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC129",0,4214,223075,0.235,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC13",0,2843,152206,-0.375,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC130",0.5,15395,81576,-1.073,2,1,"Absent",0.191,0.191,"0","HitbyNA","HitbyCSA",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC132",0,11209,55610,1.098,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC134",0,14967,79879,-0.817,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC136",0,13236,64753,2.578,0,1,"Absent",1.155,1.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC138",0,3232,165055,0.681,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC14",0,13252,64770,0.15,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC140",0,2794,151278,1.729,0,1,"Absent",1.155,1.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC141",0,6344,285025,1.499,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC142",1,16234,84865,-2.018,0,1,"Absent",0.434,0.434,"HitbyZS","HitbyNA","HitbyCSA","HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"CCDC144B",0,6246,284047,-0.093,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC144NL",0,7213,339184,0.324,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC146",0,12190,57639,-0.356,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC148",0,2027,130940,0.83,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC149",0,17083,91050,1.181,0,0.5,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC15",0,15083,80071,-0.857,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC150",0,6340,284992,0.306,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC151",0,1377,115948,-0.074,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC153",0,6148,283152,1.127,0,0,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC155",0,2624,147872,-0.692,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC157",0,10819,550631,0.259,0,0,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC158",0,7257,339965,-0.149,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC159",0,1783,126075,-0.009,0,0.5,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC167",0,2922,154467,-0.381,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC17",0,2708,149483,0.688,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC170",0,15100,80129,-0.773,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC171",0,3805,203238,1.086,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC172",0,7755,374355,1.056,0,0,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CCDC173",0,1982,129881,0.02,0,1,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
