"GeneSymbol","EntrezID","num","neg.score","neg.p.value","neg.fdr","neg.rank","neg.goodsgrna","neg.lfc","pos.score","pos.p.value","pos.fdr","pos.rank","pos.goodsgrna","pos.lfc","replicate1","replicate2","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","KEGG.4","KEGG.class.iteration4","Network.4","Network.class.iteration4","KEGG.5","KEGG.class.iteration5","Network.5","Network.class.iteration5","Pathway"
"CYP39A1",51302,6,0.30124,0.56591,0.999804,11594,4,-7.8386,0.23197,0.23196,0.993573,5011,0,-7.8386,0,0,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CYP3A4",1576,5,0.47465,0.70034,0.999804,14702,3,-7.1174,0.2277,0.22796,0.993573,4924,0,-7.1174,0,0,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CYP3A43",64816,6,0.22697,0.47107,0.999804,9751,3,-6.9254,0.19393,0.19398,0.993573,4203,0,-6.9254,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CYP3A5",1577,5,0.47155,0.69749,0.999804,14655,2,-5.7571,0.48558,0.48601,0.999594,10490,0,-5.7571,0,0,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CYP3A7",1551,6,0.0052234,0.024595,0.786917,580,3,-8.3187,0.77356,0.77352,0.999987,16633,0,-8.3187,0,0,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CYP46A1",10858,6,0.43805,0.68629,0.999804,14119,1,-5.889,0.40841,0.40854,0.99953,8799,0,-5.889,0,0,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CYP4A11",1579,6,0.94549,0.96269,0.999804,20587,1,-4.449,0.37459,0.37464,0.99953,8063,0,-4.449,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CYP4A22",284541,6,0.3949,0.65454,0.999804,13405,3,-7.3658,0.33912,0.33935,0.99953,7282,0,-7.3658,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"CYP4B1",1580,6,0.18966,0.4201,0.999804,8751,4,-7.8555,0.964,0.96406,0.999987,20758,0,-7.8555,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CYP4F11",57834,6,0.1001,0.28153,0.979249,5888,4,-8.0177,0.30083,0.30093,0.99953,6447,0,-8.0177,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CYP4F12",66002,6,0.10822,0.29915,0.985197,6227,5,-8.1526,0.93209,0.93224,0.999987,19970,0,-8.1526,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CYP4F2",8529,6,0.64179,0.83312,0.999804,17207,2,-6.8688,0.64525,0.64533,0.999987,13823,0,-6.8688,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CYP4F22",126410,6,0.078711,0.23303,0.959456,4952,4,-8.2307,0.95312,0.95312,0.999987,20489,0,-8.2307,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CYP4F3",4051,6,0.051639,0.16704,0.927316,3606,5,-8.1904,0.98175,0.98167,0.999987,21179,0,-8.1904,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CYP4F8",11283,6,0.79227,0.89849,0.999804,18808,2,-4.7094,0.28428,0.2845,0.99953,6082,0,-4.7094,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CYP4V2",285440,6,0.055304,0.17632,0.92998,3812,5,-8.4229,0.70872,0.70855,0.999987,15213,0,-8.4229,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CYP4X1",260293,6,0.039316,0.13483,0.911864,2945,4,-8.69,0.89808,0.89805,0.999987,19224,0,-8.69,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"CYP4Z1",199974,6,0.098353,0.27768,0.979249,5795,4,-8.3558,0.39582,0.3959,0.99953,8545,0,-8.3558,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CYP51A1",1595,6,0.13908,0.3471,0.992846,7241,2,-7.0806,0.80384,0.80368,0.999987,17203,0,-7.0806,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CYP7A1",1581,6,0.45152,0.69623,0.999804,14327,2,-5.3686,0.0083071,0.01094,0.973237,230,1,-5.3686,0,0.5,"MedConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Metabolic pathways, Primary bile acid biosynthesis, Steroid hormone biosynthesis"
"CYP7B1",9420,6,0.13575,0.34207,0.992846,7107,2,-6.123,0.12602,0.12614,0.986119,2760,0,-6.123,0,0,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"CYP8B1",1582,6,0.56811,0.78074,0.999804,16122,2,-7.2636,0.0007482,0.0014781,0.830033,32,1,-7.2636,0,1,"HighConf","Yes","HighConf","No","HighConf","Yes","HighConf","No","HighConf","Yes","HighConf","No","HighConf","Yes","HighConf","No","HighConf","Yes","HighConf","No","HighConf","Metabolic pathways, Primary bile acid biosynthesis"
"CYR61",3491,6,0.26747,0.52378,0.999804,10775,3,-7.7887,0.82092,0.8208,0.999987,17593,0,-7.7887,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CYS1",192668,6,0.22299,0.46586,0.999804,9658,4,-8.1652,0.39334,0.3934,0.99953,8494,0,-8.1652,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CYSLTR1",10800,6,0.39893,0.65748,0.999804,13478,3,-7.6093,0.0078969,0.010583,0.973237,222,1,-7.6093,0,0.5,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"CYSLTR2",57105,6,0.16086,0.37915,0.996564,7889,4,-8.2582,0.88206,0.882,0.999987,18863,0,-8.2582,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"CYSTM1",84418,6,0.037228,0.12924,0.90838,2821,4,-8.2602,0.82365,0.82351,0.999987,17643,0,-8.2602,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CYTH1",9267,4,0.19938,0.38415,0.996564,8984,3,-6.1928,0.40664,0.40636,0.99953,8762,0,-6.1928,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"CYTH2",9266,5,0.031218,0.11025,0.903593,2454,3,-7.9804,0.65436,0.65471,0.999987,14038,0,-7.9804,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"CYTH3",9265,6,0.76358,0.88586,0.999804,18505,2,-6.7658,0.67736,0.67739,0.999987,14563,0,-6.7658,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"CYTH4",27128,6,0.10151,0.28461,0.979249,5957,5,-8.2827,0.71917,0.71907,0.999987,15446,0,-8.2827,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"CYTIP",9595,6,0.21645,0.4571,0.999804,9470,4,-8.0837,0.70082,0.70069,0.999987,15059,0,-8.0837,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CYTL1",54360,6,0.11435,0.30938,0.985915,6432,3,-7.9194,0.83932,0.83933,0.999987,17940,0,-7.9194,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"CYYR1",116159,6,0.00021804,0.0011591,0.530012,38,5,-9.3734,0.5721,0.57211,0.999987,12330,0,-9.3734,0.5,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"D2HGDH",728294,6,0.085434,0.24856,0.964049,5277,5,-7.796,0.90653,0.90656,0.999987,19417,0,-7.796,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DAAM1",23002,6,0.32603,0.59576,0.999804,12142,2,-7.0585,0.76139,0.7613,0.999987,16350,0,-7.0585,0,0,"LowConf","No","0","No","0","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"DAAM2",23500,6,0.52545,0.75004,0.999804,15478,3,-7.4342,0.85952,0.85952,0.999987,18374,0,-7.4342,0,0,"LowConf","No","0","No","0","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"DAB1",1600,6,0.63396,0.82766,0.999804,17099,1,-5.6608,0.36287,0.36296,0.99953,7810,0,-5.6608,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DAB2",1601,6,0.23605,0.48307,0.999804,10029,4,-7.9227,0.80965,0.80952,0.999987,17351,0,-7.9227,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DAB2IP",153090,6,0.00034191,0.0018213,0.582904,57,4,-9.1364,0.076008,0.076166,0.986119,1659,1,-9.1364,0.5,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"DACH1",1602,6,0.42965,0.68016,0.999804,13996,2,-7.0453,0.63945,0.63943,0.999987,13709,0,-7.0453,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DACH2",117154,6,0.071929,0.2171,0.950917,4628,3,-7.5357,0.22415,0.22415,0.993573,4841,0,-7.5357,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DACT1",51339,6,0.68227,0.85303,0.999804,17706,2,-4.0002,0.13949,0.13956,0.993573,3041,0,-4.0002,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DACT2",168002,6,0.13699,0.34397,0.992846,7137,4,-8.2465,0.9679,0.96791,0.999987,20842,0,-8.2465,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DACT3",147906,6,0.3698,0.63588,0.999804,12992,2,-5.6489,0.53516,0.53523,0.999987,11542,0,-5.6489,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DAD1",1603,4,0.61765,0.75864,0.999804,16846,1,-6.982,0.78603,0.78576,0.999987,16885,0,-6.982,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"DAG1",1605,6,0.083012,0.24297,0.963557,5143,2,-4.3773,0.2705,0.27082,0.99953,5785,0,-4.3773,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DAGLA",747,6,0.012014,0.052855,0.854378,1168,3,-7.9916,0.871,0.87104,0.999987,18631,0,-7.9916,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DAGLB",221955,6,0.33718,0.60883,0.999804,12412,4,-7.7937,0.93399,0.93409,0.999987,20040,0,-7.7937,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DALRD3",55152,6,0.52763,0.75166,0.999804,15508,2,-7.2576,0.67195,0.67194,0.999987,14417,0,-7.2576,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DAND5",199699,6,0.30526,0.57077,0.999804,11683,4,-7.5811,0.94622,0.94619,0.999987,20344,0,-7.5811,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DAO",1610,6,0.46138,0.70341,0.999804,14498,3,-7.4453,0.2577,0.25794,0.99953,5512,0,-7.4453,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"DAOA",267012,6,0.38918,0.65029,0.999804,13316,2,-6.1956,0.47142,0.4715,0.99953,10201,0,-6.1956,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DAP",1611,6,0.34444,0.61703,0.999804,12573,3,-7.5932,0.75128,0.75119,0.999987,16156,0,-7.5932,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DAP3",7818,6,0.51903,0.74538,0.999804,15405,2,-7.2892,0.7151,0.71501,0.999987,15374,0,-7.2892,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DAPK1",1612,6,0.0039057,0.018773,0.761419,444,6,-8.4753,0.99609,0.99608,0.999987,21576,0,-8.4753,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DAPK2",23604,6,0.58323,0.79166,0.999804,16349,2,-7.3387,0.25466,0.25486,0.99953,5456,0,-7.3387,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DAPK3",1613,6,0.016734,0.070293,0.874455,1525,4,-7.6633,0.39643,0.39652,0.99953,8555,0,-7.6633,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DAPL1",92196,6,0.05278,0.16992,0.928373,3656,4,-8.6489,0.17005,0.17026,0.993573,3697,0,-8.6489,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DAPP1",27071,6,0.43197,0.68184,0.999804,14031,2,-6.5602,0.13639,0.13649,0.991806,2984,0,-6.5602,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DARS",1615,6,0.85916,0.9312,0.999804,19570,1,-3.0027,0.03311,0.034358,0.986119,727,1,-3.0027,0,0.5,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"DARS2",55157,5,0.83588,0.90748,0.999804,19334,1,-5.6912,0.52847,0.52872,0.999987,11387,0,-5.6912,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DAW1",164781,6,0.053444,0.17156,0.928373,3699,4,-7.8722,0.95312,0.95312,0.999987,20482,0,-7.8722,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DAXX",1616,6,0.18816,0.41806,0.999804,8714,4,-8.0157,0.69659,0.69638,0.999987,14921,0,-8.0157,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"DAZ1",1617,6,0.000000122,0.000000685,0.014851,1,6,-10.178,0.99993,0.99993,0.999987,21688,0,-10.178,1,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DAZAP1",26528,6,0.3949,0.65454,0.999804,13413,2,-7.242,0.35539,0.35556,0.99953,7631,0,-7.242,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DAZAP2",9802,6,0.39791,0.65672,0.999804,13455,3,-7.3048,0.23767,0.23766,0.993573,5105,0,-7.3048,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DAZL",1618,6,0.87238,0.93824,0.999804,19731,2,-7.4602,0.40858,0.40871,0.99953,8803,0,-7.4602,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DBF4",10926,4,0.48017,0.65466,0.999804,14791,2,-7.1958,0.51986,0.51944,0.999987,11194,0,-7.1958,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DBF4B",80174,6,0.5258,0.75029,0.999804,15498,3,-5.9707,0.30724,0.30733,0.99953,6600,0,-5.9707,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DBH",1621,6,0.24143,0.49014,0.999804,10145,3,-7.6948,0.72704,0.72693,0.999987,15621,0,-7.6948,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"DBI",1622,5,0.31029,0.54096,0.999804,11837,3,-7.0889,0.72233,0.72245,0.999987,15489,0,-7.0889,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","No","0","No","0","No","0","No","0",NA
"DBN1",1627,6,0.071287,0.21559,0.950917,4591,2,-5.1644,0.18596,0.18607,0.993573,4019,0,-5.1644,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DBNDD1",79007,6,0.29716,0.5609,0.999804,11488,2,-6.6701,0.28322,0.28344,0.99953,6060,0,-6.6701,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DBNDD2",55861,6,0.034507,0.12171,0.903593,2662,4,-8.6651,0.27859,0.27889,0.99953,5961,0,-8.6651,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DBNL",28988,6,0.18138,0.40857,0.999616,8497,3,-7.6747,0.47142,0.4715,0.99953,10160,0,-7.6747,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DBP",1628,6,0.45529,0.69897,0.999804,14402,2,-6.5159,0.4894,0.48938,0.999594,10530,0,-6.5159,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DBR1",51163,4,0.98269,0.98264,0.999804,21248,0,-6.2359,0.80208,0.80182,0.999987,17179,0,-6.2359,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DBT",1629,6,0.0026802,0.013142,0.73384,318,6,-9.2626,0.98548,0.98544,0.999987,21276,0,-9.2626,0,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"DBX2",440097,6,0.35317,0.62353,0.999804,12697,2,-7.1604,0.26012,0.26036,0.99953,5564,0,-7.1604,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DCAF10",79269,6,0.46439,0.7056,0.999804,14545,3,-6.9247,0.17657,0.17665,0.993573,3826,0,-6.9247,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DCAF11",80344,6,0.12078,0.31928,0.988703,6642,3,-7.499,0.81539,0.81528,0.999987,17459,0,-7.499,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DCAF12",25853,6,0.26153,0.51624,0.999804,10628,4,-7.9387,0.93806,0.93804,0.999987,20130,0,-7.9387,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DCAF12L1",139170,6,0.060607,0.18964,0.938154,4089,4,-8.4809,0.27969,0.27997,0.99953,5985,0,-8.4809,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DCAF12L2",340578,6,0.018736,0.076293,0.878887,1650,3,-6.8166,0.36106,0.36119,0.99953,7751,0,-6.8166,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DCAF13",25879,6,0.64964,0.83869,0.999804,17348,3,-6.6894,0.14978,0.14995,0.993573,3264,0,-6.6894,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DCAF15",90379,6,0.16206,0.3809,0.996564,7915,4,-8.1248,0.80965,0.80952,0.999987,17320,0,-8.1248,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DCAF16",54876,6,0.36159,0.62975,0.999804,12846,3,-7.8547,0.95179,0.95178,0.999987,20458,0,-7.8547,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DCAF17",80067,6,0.40117,0.65913,0.999804,13506,2,-7.545,0.79159,0.79147,0.999987,16983,0,-7.545,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DCAF4",26094,6,0.26153,0.51624,0.999804,10640,4,-7.8399,0.17652,0.17661,0.993573,3825,0,-7.8399,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DCAF4L1",285429,6,0.23165,0.47735,0.999804,9875,3,-7.4502,0.61265,0.61263,0.999987,13180,0,-7.4502,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DCAF4L2",138009,6,0.79531,0.89984,0.999804,18864,2,-6.0449,0.083233,0.083268,0.986119,1814,1,-6.0449,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DCAF5",8816,6,0.98501,0.98498,0.999804,21313,0,-3.2833,0.0309,0.032201,0.986119,674,1,-3.2833,0,0.5,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"DCAF6",55827,6,0.14297,0.35296,0.994417,7341,4,-7.8951,0.95771,0.95781,0.999987,20591,0,-7.8951,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DCAF7",10238,5,0.43917,0.66735,0.999804,14132,3,-7.2249,0.51148,0.51185,0.999987,11036,0,-7.2249,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DCAF8",50717,6,0.11435,0.30938,0.985915,6437,3,-7.5601,0.60368,0.60363,0.999987,12988,0,-7.5601,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DCAF8L1",139425,6,0.23605,0.48307,0.999804,10022,4,-7.9227,0.86747,0.86749,0.999987,18548,0,-7.9227,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DCAF8L2",347442,6,0.1313,0.33535,0.992846,6977,4,-7.8418,0.85734,0.85733,0.999987,18328,0,-7.8418,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DCAKD",79877,6,0.34399,0.61668,0.999804,12562,3,-7.8231,0.38188,0.38189,0.99953,8226,0,-7.8231,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DCBLD1",285761,6,0.18171,0.40903,0.999616,8512,2,-6.6215,0.035667,0.036811,0.986119,782,1,-6.6215,0,0.5,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"DCBLD2",131566,6,0.0063085,0.029356,0.829751,667,6,-8.4275,0.99369,0.99364,0.999987,21504,0,-8.4275,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DCC",1630,6,0.61787,0.81633,0.999804,16849,2,-7.2949,0.77811,0.77801,0.999987,16698,0,-7.2949,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"DCD",117159,6,0.052229,0.16854,0.928373,3631,4,-8.5605,0.15397,0.15418,0.993573,3345,0,-8.5605,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DCDC1",341019,6,0.38046,0.64377,0.999804,13144,3,-7.3352,0.1752,0.17537,0.993573,3796,0,-7.3352,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DCDC2",51473,6,0.02529,0.095553,0.892055,2094,4,-8.4003,0.37679,0.37677,0.99953,8120,0,-8.4003,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DCDC2B",149069,6,0.80437,0.904,0.999804,18960,2,-6.0285,0.47914,0.4792,0.999594,10357,0,-6.0285,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"DCHS1",8642,6,0.0008082,0.0041509,0.592539,125,6,-8.6394,0.99919,0.99917,0.999987,21659,0,-8.6394,0.5,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
