Pathway,pVal,pValFDR,pValBonferroni,Genes,HitGenes,HighScoreGenes,HighScoreGenesNames,MedScoreGenesNames,EnrichScore
Chemokine signaling pathway,0.001,0.004,0.214,186,49,0,"","Arrb1, Rap1a, Adcy6, Akt1, Rhoa, Cdc42, Bcar1, Crk, Ptk2, Gnai2, Gnb1, Gnb2, Gng12, Gng5, Gngt2, Grb2, Cxcl10, Kras, Lyn, Cxcl9, Nfkb1, Nfkbia, Nras, Pik3ca, Prkaca, Prkacb, Prkcd, Plcb4, Pxn, Rac1, Rac2, Rasgrp2, Rela, Rock1, Rock2, Ccl5, Ccl6, Stat1, Stat3, Stat5b, Rap1b, Arrb2, Mapk1, Mapk3, Gsk3b, Vav3, Gng11, Cxcl16, Wasl",0.132
Cardiac muscle contraction,0.001,0.004,0.214,78,25,0,"","Cox6b1, Atp1a1, Atp1b3, Atp2a2, Cox4i1, Cox5a, Cox5b, Cox6a1, Cox6c, Cox7a2, Cox8a, Cox7a2l, Slc9a1, Tpm1, Uqcrq, Uqcrc1, Tpm4, Tpm3, Cox7b, Uqcr10, Uqcrh, Uqcr11, Uqcrfs1, Uqcrc2, Uqcrb",0.16
Dopaminergic synapse,0.001,0.004,0.229,131,37,1,Calm1,"Camk2d, Akt1, Atf2, Atf4, Calm2, Clock, Comt, Creb1, Fos, Gnai2, Gnaq, Gnas, Gnb1, Gnb2, Gng12, Gng5, Gngt2, Itpr2, Kif5b, Prkaca, Prkacb, Plcb4, Ppp1ca, Ppp1cb, Ppp2ca, Ppp2cb, Ppp3ca, Arrb2, Ppp2r5a, Mapk9, Ppp2r5c, Ppp2r5e, Mapk12, Ppp2r1a, Gsk3b, Gng11",0.155
Long-term potentiation,0.001,0.005,0.24,66,22,1,Calm1,"Camk2d, Rap1a, Atf4, Calm2, Crebbp, Gnaq, Itpr2, Kras, Nras, Prkaca, Prkacb, Plcb4, Ppp1ca, Ppp1cb, Ppp3ca, Rps6ka1, Rap1b, Map2k2, Mapk1, Mapk3, Ep300",0.189
Apoptosis,0.001,0.005,0.246,136,38,0,"","Actb, Parp1, Akt1, Apaf1, Birc3, Xiap, Atf4, Bax, Capn2, Cflar, Ctsb, Ctsc, Ctsd, Ctsl, Ctss, Fos, Itpr2, Jun, Kras, Mcl1, Nfkb1, Nfkbia, Nras, Pik3ca, Rela, Tnfrsf1a, Tnfsf10, Tuba1a, Tuba1b, Gadd45g, Map2k2, Mapk1, Mapk3, Mapk9, Parp4, Ctsz, Diablo, Dab2ip",0.14
TGF-beta signaling pathway,0.001,0.006,0.305,84,26,0,"","Rhoa, Bmp2, Bmp6, Bmpr2, Crebbp, Id1, Id2, Id3, Inhbb, Smad1, Smad3, Smad6, Smad7, Ppp2ca, Ppp2cb, Rock1, Skp1a, Tgfbr2, Mapk1, Mapk3, Ep300, Ppp2r1a, Rbx1, Smurf2, Rps6kb1, Smurf1",0.155
Ubiquitin mediated proteolysis,0.001,0.006,0.33,138,38,0,"","Fbxw11, Wwp1, Birc3, Xiap, Birc6, Cbl, Ddb1, Ube2j2, Trip12, Itch, Nedd4, Rnf7, Skp1a, Ube2m, Ube2e1, Ube2l3, Uba1, Ube2h, Klhl9, Cul3, Prpf19, Ube2j1, Rbx1, Sae1, Pias1, Anapc5, Huwe1, Ube4b, Ube2d3, Anapc11, Smurf2, Cdc26, Ube2r2, Rchy1, Ube2q1, Ubr5, Smurf1, Anapc2",0.138
HIF-1 signaling pathway,0.001,0.006,0.336,102,30,0,"","Camk2d, Egln1, Akt1, Aldoa, Cdkn1a, Crebbp, Eif4ebp1, Flt1, Hk1, Ifngr1, Igf1, Insr, Ldha, Ltbr, Mknk2, Nfkb1, Nos3, Pgk1, Pik3ca, Rela, Stat3, Tek, Trf, Map2k2, Mapk1, Mapk3, Eif4e2, Ep300, Rbx1, Rps6kb1",0.147
"Valine, leucine and isoleucine degradation",0.002,0.007,0.412,56,19,0,"","Acat1, Acadm, Acaa1a, Aldh2, Auh, Hadh, Hsd17b10, Hmgcs2, Mut, Hadhb, Acaa1b, Abat, Acaa2, Hibadh, Acadsb, Pccb, Aox3, Mcee, Hadha",0.17
TNF signaling pathway,0.002,0.007,0.435,108,31,0,"","Akt1, Birc3, Atf2, Atf4, Cebpb, Cflar, Creb1, Csf1, Fos, Cxcl10, Ifi47, Itch, Jun, Junb, Mmp14, Nfkb1, Nfkbia, Pik3ca, Rela, Ccl5, Tnfrsf1a, Vcam1, Map2k3, Mapk1, Mapk3, Mapk9, Mapk12, Bag4, Tab2, Dab2ip, Dnm1l",0.144
Phagosome,0.002,0.008,0.495,169,44,0,"","Stx12, Atp6v0b, Actb, Atp6v0d1, Atp6v1e1, Atp6v0e, Atp6v0a1, Atp6v0c, C3, Calr, Canx, Cd36, Coro1a, Ctsl, Ctss, Cyba, Dync1h1, Dync1i2, Fcgr2b, Itgb1, Itgb2, Lamp1, Lamp2, M6pr, Mrc1, Rab5c, Rab7, Rac1, Scarb1, Tap1, Tap2, Eea1, Atp6v0a2, Tuba1a, Tuba1b, Tubb5, Vamp3, Tcirg1, Stx7, Sec61a1, Atp6ap1, Atp6v1f, Atp6v1g1, Atp6v1d",0.13
Apelin signaling pathway,0.002,0.009,0.552,137,37,1,Calm1,"Adcy6, Akt1, Calm2, Ccnd1, Gnai2, Gnaq, Gnb1, Gnb2, Gng12, Gng5, Gngt2, Hdac5, Itpr2, Klf2, Kras, Smad3, Mef2a, Mef2c, Mef2d, Nos3, Nras, Prkaca, Prkacb, Prkce, Plcb4, Rras, Slc9a1, Map2k2, Mapk1, Mapk3, Becn1, Gabarap, Gabarapl1, Gng11, Rps6kb1, Gabarapl2",0.149
Necroptosis,0.002,0.009,0.577,175,45,0,"","Camk2d, Parp1, Slc25a4, Slc25a5, Birc3, Xiap, Bax, Capn2, Cflar, Fth1, Glul, Glud1, Hmgb1, Hsp90ab1, Hsp90aa1, Ifnar2, Ifngr1, Irf9, Jak1, Sqstm1, Vps4b, Stat1, Stat3, Stat5b, Stat6, Tnfrsf1a, Tnfsf10, Vdac1, Vdac2, Vdac3, H2afj, Rbck1, Mapk9, H2afy, Usp21, Hist3h2a, Parp4, Trpm7, Chmp3, Ppid, Chmp2b, Chmp2a, Dnm1l, Chmp4b, H2afv",0.129
Axon guidance,0.002,0.009,0.577,175,45,0,"","Camk2d, Abl1, Srgap1, Rhoa, Bmpr2, Cdc42, Cfl1, Cfl2, Dpysl2, Efna1, Efnb1, Ephb4, Ptk2, Srgap2, Fyn, Gnai2, Itgb1, Kras, Nck1, Nfatc3, Nras, Nrp1, Pik3ca, Plxna2, Ppp3ca, Rac1, Rac2, Rock1, Rock2, Rras, Ryk, Sema3f, Sema4c, Sema6a, Sema6d, Rasa1, Pak2, Ssh2, Plxna4, Mapk1, Mapk3, Plxnc1, Gsk3b, Ntn4, Arhgef12",0.129
Circadian rhythm,0.002,0.01,0.617,30,12,0,"","Fbxw11, Csnk1d, Clock, Creb1, Cry1, Per1, Per3, Rora, Skp1a, Csnk1e, Fbxl3, Rbx1",0.2
mTOR signaling pathway,0.003,0.01,0.629,152,40,0,"","Sec13, Akt1, Rhoa, Atp6v1e1, Cab39, Eif4ebp1, Lpin1, Grb2, Igf1, Insr, Kras, Lrp5, Lrp6, Slc3a2, Nras, Pik3ca, Pten, Rheb, Rps6ka1, Sgk1, Tnfrsf1a, Tsc2, Ulk1, Wnt2, Map2k2, Mapk1, Mapk3, Eif4e2, Ulk2, Clip1, Gsk3b, Lamtor3, Tsc1, Atp6v1f, Atp6v1g1, Cab39l, Rps6kb1, Atp6v1d, Ddit4, Eif4b",0.132
Hippo signaling pathway,0.003,0.011,0.715,153,40,0,"","Fbxw11, Csnk1d, Scrib, Actb, Apc, Bmp2, Bmp6, Bmpr2, Ctnna1, Ctnnb1, Ccnd1, Ccnd2, Ccnd3, Dlg1, Id1, Id2, Itgb2, Smad1, Smad3, Smad7, Ppp1ca, Ppp1cb, Ppp2ca, Ppp2cb, Tcf7l1, Tcf7l2, Tgfbr2, Wnt2, Ywhae, Ywhaq, Ywhaz, Mob1a, Csnk1e, Amot, Ppp2r1a, Ywhab, Gsk3b, Sav1, Nkd1, Wwtr1",0.131
T cell receptor signaling pathway,0.003,0.012,0.825,103,29,0,"","Akt1, Rhoa, Cbl, Cdc42, Cdk4, Dlg1, Fos, Fyn, Grb2, Jun, Kras, Nck1, Nfatc1, Nfatc3, Nfkb1, Nfkbia, Nras, Pik3ca, Ppp3ca, Ptprc, Rela, Pak2, Map2k2, Mapk1, Mapk3, Mapk9, Mapk12, Gsk3b, Vav3",0.141
Insulin resistance,0.004,0.013,0.883,108,30,0,"","Ogt, Akt1, Cd36, Cpt1a, Creb1, G6pc, Insr, Nfkb1, Nfkbia, Nos3, Pck1, Pik3ca, Prkcd, Prkce, Ppp1ca, Ppp1cb, Pten, Ptpn1, Rela, Rps6ka1, Mlxip, Stat3, Tnfrsf1a, Mapk9, Slc27a2, Slc27a5, Foxo1, Gsk3b, Rps6kb1, Crtc2",0.139
Osteoclast differentiation,0.005,0.017,1,124,33,0,"","Akt1, Creb1, Csf1, Cyba, Fcgr2b, Fos, Fyn, Grb2, Ifnar2, Ifngr1, Irf9, Jak1, Jun, Junb, Jund, Nfatc1, Nfkb1, Nfkbia, Sqstm1, Pik3ca, Ppp3ca, Sirpa, Rac1, Rela, Stat1, Tgfbr2, Tnfrsf1a, Tyrobp, Mapk1, Mapk3, Mapk9, Mapk12, Tab2",0.133
Ras signaling pathway,0.005,0.018,1,226,54,2,"Calm1, Kdr","Rap1a, Abl1, Abl2, Akt1, Arf6, Rhoa, Calm2, Cdc42, Csf1, Efna1, Flt1, Flt4, Gnb1, Gnb2, Gng12, Gng5, Gngt2, Grb2, Igf1, Insr, Kit, Kras, Kitl, Nfkb1, Nras, Pik3ca, Prkaca, Prkacb, Rab5c, Rac1, Rac2, Rasgrp2, Rela, Rgl1, Ralbp1, Rras, Rap1b, Tek, Rapgef5, Rasa1, Pak2, Rasal2, Ets1, Ets2, Rasgrp3, Map2k2, Mapk1, Mapk3, Mapk9, Rala, Ralb, Gng11",0.138
Synaptic vesicle cycle,0.006,0.021,1,62,19,0,"","Atp6v0b, Ap2a2, Ap2m1, Atp6v0d1, Atp6v1e1, Atp6v0e, Atp6v0a1, Atp6v0c, Clta, Dnm2, Stx2, Stxbp1, Atp6v0a2, Ap2s1, Tcirg1, Atp6v1f, Atp6v1g1, Cltc, Atp6v1d",0.153
GnRH signaling pathway,0.006,0.022,1,89,25,1,Calm1,"Camk2d, Adcy6, Atf4, Calm2, Cdc42, Gna11, Gnaq, Gnas, Grb2, Itpr2, Jun, Kras, Mmp14, Nras, Prkaca, Prkacb, Prkcd, Plcb4, Map2k2, Map2k3, Mapk1, Mapk3, Mapk9, Mapk12",0.16
Prolactin signaling pathway,0.007,0.025,1,72,21,0,"","Akt1, Ccnd1, Ccnd2, Fos, Grb2, Irf1, Kras, Nfkb1, Nras, Pik3ca, Rela, Stat1, Stat3, Stat5b, Map2k2, Mapk1, Mapk3, Mapk9, Mapk12, Socs5, Gsk3b",0.146
Cell cycle,0.008,0.026,1,123,32,0,"","Abl1, Bub3, Ccnd1, Ccnd2, Ccnd3, Cdk4, Cdkn1a, Crebbp, Smc3, Hdac2, Smad3, Mcm3, Pcna, Rad21, Rbl2, Stag1, Stag2, Skp1a, Ywhae, Ywhaq, Ywhaz, Gadd45g, Smc1a, Ep300, Hdac1, Ywhab, Rbx1, Gsk3b, Anapc5, Anapc11, Cdc26, Anapc2",0.13
Insulin signaling pathway,0.009,0.031,1,139,35,1,Calm1,"Rhoq, Rapgef1, Akt1, Calm2, Cbl, Crk, Eif4ebp1, Fbp1, G6pc, Grb2, Hk1, Insr, Kras, Mknk2, Nras, Pck1, Pik3ca, Prkaca, Prkacb, Ppp1ca, Ppp1cb, Prkar1a, Ptpn1, Rheb, Tsc2, Map2k2, Mapk1, Mapk3, Mapk9, Eif4e2, Foxo1, Gsk3b, Tsc1, Rps6kb1",0.14
Long-term depression,0.009,0.031,1,60,18,0,"","Gna11, Gna12, Gnai2, Gnaq, Gnas, Gnaz, Igf1, Itpr2, Kras, Lyn, Nras, Plcb4, Ppp2ca, Ppp2cb, Map2k2, Mapk1, Mapk3, Ppp2r1a",0.15
Th17 cell differentiation,0.009,0.031,1,101,27,1,Il6st,"Fos, Hsp90ab1, Hsp90aa1, Ifngr1, Il2rg, Jak1, Jun, Smad3, Nfatc1, Nfatc3, Nfkb1, Nfkbia, Ppp3ca, Rela, Rora, Rxra, Rxrb, Stat1, Stat3, Stat5b, Stat6, Tgfbr2, Mapk1, Mapk3, Mapk9, Mapk12",0.152
Collecting duct acid secretion,0.01,0.033,1,27,10,0,"","Atp6v0d1, Atp6v1e1, Atp6v0e, Atp6v0a1, Atp6v0c, Atp6v0a2, Tcirg1, Atp6v1f, Atp6v1g1, Atp6v1d",0.185
Biosynthesis of amino acids,0.012,0.038,1,75,21,0,"","Asl, Aco2, Aldoa, Mat1a, Arg1, Ass1, Glul, Got2, Idh1, Idh3g, Idh3b, Otc, Pgam1, Pgk1, Taldo1, Tkt, Tpi1, Cps1, Aldob, Mat2a, Tat",0.14
cAMP signaling pathway,0.013,0.04,1,196,46,1,Calm1,"Arap3, Camk2d, Rap1a, Acox1, Adcy6, Akt1, Rhoa, Atp1a1, Atp1b3, Atp2a2, Calm2, Creb1, Crebbp, F2r, Fos, Gnai2, Gnas, Jun, Ppp1r12a, Nfatc1, Nfkb1, Nfkbia, Npr1, Pik3ca, Prkaca, Prkacb, Ppp1ca, Ppp1cb, Rac1, Rac2, Rela, Rock1, Rock2, Rras, Slc9a1, Rap1b, Abcc4, Map2k2, Mapk1, Mapk3, Mapk9, Ep300, Atp2b4, Vav3, Atp2b1",0.128
Longevity regulating pathway - multiple species,0.013,0.041,1,62,18,1,Hspa8,"Adcy6, Akt1, Cat, Eif4ebp2, Hdac2, Igf1, Insr, Kras, Nras, Pik3ca, Prkaca, Prkacb, Sod1, Sod2, Hdac1, Foxo1, Rps6kb1",0.173
ErbB signaling pathway,0.014,0.041,1,85,23,0,"","Camk2d, Abl1, Abl2, Akt1, Cbl, Cdkn1a, Crk, Eif4ebp1, Ptk2, Grb2, Jun, Kras, Nck1, Nras, Pik3ca, Stat5b, Pak2, Map2k2, Mapk1, Mapk3, Mapk9, Gsk3b, Rps6kb1",0.135
Notch signaling pathway,0.014,0.041,1,49,15,0,"","Crebbp, Ctbp1, Hdac2, Hes1, Lfng, Mfng, Notch1, Notch4, Numb, Kat2b, Psen2, Ep300, Hdac1, Dll4, Snw1",0.153
Oxytocin signaling pathway,0.014,0.041,1,152,37,1,Calm1,"Camk2d, Actb, Adcy6, Rhoa, Calm2, Ccnd1, Cd38, Cdkn1a, Eef2, Fos, Gnai2, Gnaq, Gnas, Itpr2, Jun, Kras, Mef2c, Myl6, Ppp1r12a, Nfatc1, Nfatc3, Nos3, Npr1, Nras, Prkaca, Prkacb, Plcb4, Ppp1ca, Ppp1cb, Ppp3ca, Rock1, Rock2, Map2k2, Mapk1, Mapk3, Camk1",0.135
Endocrine and other factor-regulated calcium reabsorption,0.016,0.045,1,54,16,0,"","Adcy6, Ap2a2, Ap2m1, Atp1a1, Atp1b3, Clta, Dnm2, Gnaq, Gnas, Prkaca, Prkacb, Plcb4, Ap2s1, Rab11a, Cltc, Atp2b1",0.148
Melanogenesis,0.016,0.045,1,100,26,1,Calm1,"Camk2d, Adcy6, Calm2, Ctnnb1, Creb1, Crebbp, Ednrb, Gnai2, Gnaq, Gnas, Kit, Kras, Kitl, Nras, Prkaca, Prkacb, Plcb4, Tcf7l1, Tcf7l2, Wnt2, Map2k2, Mapk1, Mapk3, Ep300, Gsk3b",0.149
Glucagon signaling pathway,0.018,0.05,1,101,26,1,Calm1,"Camk2d, Akt1, Atf2, Atf4, Calm2, Cpt1a, Creb1, Crebbp, Fbp1, G6pc, Gnaq, Gnas, Itpr2, Ldha, Ldhb, Pck1, Pgam1, Prkaca, Prkacb, Plcb4, Ppp3ca, Ep300, Ppp4c, Foxo1, Crtc2",0.148
Thyroid hormone synthesis,0.018,0.051,1,73,20,0,"","Adcy6, Alb, Asgr1, Atf2, Atf4, Atp1a1, Atp1b3, Canx, Creb1, Gnaq, Gnas, Gpx1, Hspa5, Itpr2, Prkaca, Prkacb, Plcb4, Hsp90b1, Ttf1, Ttr",0.137
Glyoxylate and dicarboxylate metabolism,0.018,0.051,1,29,10,0,"","Acat1, Aco2, Agxt, Cat, Glul, Mdh2, Mdh1, Mut, Pccb, Mcee",0.172
Phospholipase D signaling pathway,0.02,0.056,1,146,35,0,"","Adcy6, Akt1, Arf1, Arf6, Rhoa, Dgka, Dnm2, F2r, Fcer1g, Fyn, Gna12, Gnas, Grb2, Insr, Kit, Kras, Kitl, Nras, Pik3ca, Pip5k1c, Plcb4, Cyth2, Cyth3, Rheb, Rras, Tsc2, Map2k2, Mapk1, Mapk3, Agpat3, Agpat5, Rala, Ralb, Tsc1, Lpar6",0.12
Proximal tubule bicarbonate reclamation,0.024,0.066,1,22,8,0,"","Aqp1, Atp1a1, Atp1b3, Gls, Glud1, Mdh1, Pck1, Slc38a3",0.182
Antigen processing and presentation,0.025,0.068,1,80,21,2,"B2m, Hspa8","Calr, Canx, Creb1, Ctsb, Ctsl, Ctss, Pdia3, Hspa5, Hsp90ab1, Hsp90aa1, Hspa4, Cd74, Nfyb, Lgmn, Psme1, Tap1, Tap2, Tapbp, Ifi30",0.179
Adrenergic signaling in cardiomyocytes,0.03,0.079,1,145,34,1,Calm1,"Camk2d, Adcy6, Akt1, Atf2, Atf4, Atp1a1, Atp1b3, Atp2a2, Calm2, Creb1, Gnai2, Gnaq, Gnas, Prkaca, Prkacb, Plcb4, Ppp1ca, Ppp1cb, Ppp2ca, Ppp2cb, Slc9a1, Tpm1, Ppp2r5a, Mapk1, Mapk3, Ppp2r5c, Ppp2r5e, Mapk12, Tpm4, Atp2b4, Ppp2r1a, Tpm3, Atp2b1",0.132
VEGF signaling pathway,0.03,0.081,1,58,16,1,Kdr,"Akt1, Cdc42, Ptk2, Kras, Nos3, Nras, Pik3ca, Ppp3ca, Pxn, Rac1, Rac2, Map2k2, Mapk1, Mapk3, Mapk12",0.169
Vascular smooth muscle contraction,0.036,0.094,1,127,30,1,Calm1,"Cald1, Adcy6, Rhoa, Calm2, Gna11, Gna12, Gnaq, Gnas, Itpr2, Arhgef1, Myl6, Ppp1r12a, Npr1, Prkaca, Prkacb, Prkcd, Prkce, Prkch, Plcb4, Ppp1ca, Ppp1cb, Rock1, Rock2, Map2k2, Mapk1, Mapk3, Ramp2, Calcrl, Arhgef12",0.135
Biosynthesis of unsaturated fatty acids,0.038,0.099,1,28,9,0,"","Acaa1a, Acox1, Scd1, Scd2, Acaa1b, Hsd17b12, Elovl5, Fads1, Hadha",0.161
EGFR tyrosine kinase inhibitor resistance,0.041,0.104,1,79,20,1,Kdr,"Akt1, Bax, Eif4ebp1, Gas6, Grb2, Igf1, Jak1, Kras, Nras, Pik3ca, Pten, Stat3, Axl, Map2k2, Mapk1, Mapk3, Eif4e2, Gsk3b, Rps6kb1",0.152
Toll-like receptor signaling pathway,0.043,0.109,1,99,24,0,"","Akt1, Fos, Cxcl10, Ifnar2, Irak1, Jun, Lbp, Cxcl9, Nfkb1, Nfkbia, Pik3ca, Rac1, Rela, Ccl5, Stat1, Map2k2, Map2k3, Mapk1, Mapk3, Mapk9, Mapk12, Irf7, Tollip, Tab2",0.121
Fc epsilon RI signaling pathway,0.048,0.122,1,66,17,0,"","Akt1, Fcer1g, Fyn, Grb2, Kras, Lyn, Nras, Pik3ca, Rac1, Rac2, Map2k2, Map2k3, Mapk1, Mapk3, Mapk9, Mapk12, Vav3",0.129
